Date,MULTIFACTOR
1998-12-01,254.980
1999-01-01,268.195
1999-02-01,269.731
1999-03-01,290.775
1999-04-01,308.279
1999-05-01,302.634
1999-06-01,319.484
1999-07-01,305.629
1999-08-01,304.367
1999-09-01,297.781
1999-10-01,313.689
1999-11-01,345.268
1999-12-01,392.780
2000-01-01,373.334
2000-02-01,396.313
2000-03-01,416.167
2000-04-01,415.375
2000-05-01,393.732
2000-06-01,395.911
2000-07-01,400.662
2000-08-01,440.516
2000-09-01,422.331
2000-10-01,435.508
2000-11-01,402.813
2000-12-01,393.217
2001-01-01,399.002
2001-02-01,378.880
2001-03-01,364.277
2001-04-01,392.041
2001-05-01,409.136
2001-06-01,402.342
2001-07-01,385.193
2001-08-01,364.313
2001-09-01,324.480
2001-10-01,334.159
2001-11-01,359.800
2001-12-01,370.251
2002-01-01,382.165
2002-02-01,383.674
2002-03-01,400.572
2002-04-01,391.060
2002-05-01,380.159
2002-06-01,342.860
2002-07-01,314.518
2002-08-01,313.593
2002-09-01,285.267
2002-10-01,292.456
2002-11-01,298.696
2002-12-01,278.308
2003-01-01,264.173
2003-02-01,259.751
2003-03-01,255.373
2003-04-01,268.888
2003-05-01,274.228
2003-06-01,285.186
2003-07-01,298.618
2003-08-01,315.188
2003-09-01,299.604
2003-10-01,324.029
2003-11-01,321.153
2003-12-01,322.879
2004-01-01,335.398
2004-02-01,344.850
2004-03-01,352.872
2004-04-01,353.272
2004-05-01,351.648
2004-06-01,363.160
2004-07-01,356.392
2004-08-01,355.091
2004-09-01,360.861
2004-10-01,358.918
2004-11-01,368.605
2004-12-01,376.650
2005-01-01,390.855
2005-02-01,404.133
2005-03-01,407.136
2005-04-01,398.760
2005-05-01,427.485
2005-06-01,449.689
2005-07-01,467.062
2005-08-01,468.449
2005-09-01,493.845
2005-10-01,476.607
2005-11-01,498.430
2005-12-01,515.532
2006-01-01,533.342
2006-02-01,543.348
2006-03-01,549.673
2006-04-01,546.825
2006-05-01,517.132
2006-06-01,522.250
2006-07-01,527.731
2006-08-01,536.117
2006-09-01,550.388
2006-10-01,568.157
2006-11-01,568.078
2006-12-01,588.548
2007-01-01,604.974
2007-02-01,599.610
2007-03-01,611.944
2007-04-01,626.620
2007-05-01,653.228
2007-06-01,639.198
2007-07-01,609.496
2007-08-01,607.829
2007-09-01,604.555
2007-10-01,614.017
2007-11-01,573.541
2007-12-01,568.265
2008-01-01,516.170
2008-02-01,506.241
2008-03-01,480.079
2008-04-01,508.495
2008-05-01,524.077
2008-06-01,486.651
2008-07-01,469.238
2008-08-01,493.959
2008-09-01,450.447
2008-10-01,394.623
2008-11-01,371.896
2008-12-01,356.218
2009-01-01,361.036
2009-02-01,330.074
2009-03-01,335.412
2009-04-01,371.914
2009-05-01,378.964
2009-06-01,381.890
2009-07-01,408.177
2009-08-01,419.035
2009-09-01,428.894
2009-10-01,417.410
2009-11-01,428.370
2009-12-01,459.685
2010-01-01,460.395
2010-02-01,477.845
2010-03-01,511.273
2010-04-01,521.765
2010-05-01,518.890
2010-06-01,507.008
2010-07-01,507.550
2010-08-01,504.401
2010-09-01,517.499
2010-10-01,527.095
2010-11-01,553.016
2010-12-01,573.502
2011-01-01,578.174
2011-02-01,592.109
2011-03-01,582.902
2011-04-01,587.008
2011-05-01,598.978
2011-06-01,586.253
2011-07-01,576.295
2011-08-01,537.162
2011-09-01,522.107
2011-10-01,558.600
2011-11-01,569.204
2011-12-01,589.822
2012-01-01,613.005
2012-02-01,628.138
2012-03-01,640.158
2012-04-01,639.550
2012-05-01,625.265
2012-06-01,634.051
2012-07-01,661.097
2012-08-01,664.914
2012-09-01,668.124
2012-10-01,660.300
2012-11-01,667.237
2012-12-01,669.564
2013-01-01,680.847
2013-02-01,709.235
2013-03-01,747.888
2013-04-01,748.648
2013-05-01,770.020
2013-06-01,753.430
2013-07-01,782.121
2013-08-01,766.217
2013-09-01,785.242
2013-10-01,811.903
2013-11-01,827.182
2013-12-01,835.814
2014-01-01,828.254
2014-02-01,850.043
2014-03-01,851.535
2014-04-01,854.104
2014-05-01,883.961
2014-06-01,898.332
2014-07-01,905.561
2014-08-01,949.809
2014-09-01,956.206
2014-10-01,980.002
2014-11-01,1002.511
2014-12-01,1031.404
2015-01-01,1099.420
2015-02-01,1163.427
2015-03-01,1206.096
2015-04-01,1169.949
2015-05-01,1217.467
2015-06-01,1175.766
2015-07-01,1205.142
2015-08-01,1114.564
2015-09-01,1081.010
2015-10-01,1169.173
2015-11-01,1228.855
2015-12-01,1178.206
2016-01-01,1104.552
2016-02-01,1097.909
2016-03-01,1116.473
2016-04-01,1114.027
2016-05-01,1152.910
2016-06-01,1132.371
2016-07-01,1167.189
2016-08-01,1176.213
2016-09-01,1178.521
2016-10-01,1182.291
2016-11-01,1243.056
2016-12-01,1278.113
2017-01-01,1276.792
2017-02-01,1333.699
2017-03-01,1338.132
2017-04-01,1339.706
2017-05-01,1328.493
2017-06-01,1311.059
2017-07-01,1301.533
2017-08-01,1299.050
2017-09-01,1347.329
2017-10-01,1411.926
2017-11-01,1417.368
2017-12-01,1420.626
2018-01-01,1436.584
2018-02-01,1423.897
2018-03-01,1397.205
2018-04-01,1423.199
2018-05-01,1489.285
2018-06-01,1461.924
2018-07-01,1499.083
2018-08-01,1519.503
2018-09-01,1520.561
2018-10-01,1431.254
2018-11-01,1441.709
2018-12-01,1320.919
2019-01-01,1433.080
2019-02-01,1482.233
2019-03-01,1493.294
2019-04-01,1528.883
2019-05-01,1435.632
2019-06-01,1509.067
2019-07-01,1544.015
2019-08-01,1510.982
2019-09-01,1561.485
2019-10-01,1562.533
2019-11-01,1633.358
2019-12-01,1640.899
2020-01-01,1635.481
2020-02-01,1508.853
2020-03-01,1298.451
2020-04-01,1431.478
2020-05-01,1485.634
2020-06-01,1490.964
2020-07-01,1489.101
2020-08-01,1536.707
2020-09-01,1530.942
2020-10-01,1509.149
2020-11-01,1641.760
2020-12-01,1671.668
2021-01-01,1683.144
2021-02-01,1737.755
2021-03-01,1878.955
2021-04-01,1904.426
2021-05-01,1912.919
2021-06-01,1975.764
2021-07-01,1999.408
2021-08-01,2044.410
2021-09-01,1970.785
2021-10-01,2056.330
2021-11-01,2071.161
2021-12-01,2169.214
2022-01-01,2069.152
2022-02-01,2046.688
2022-03-01,2118.684
2022-04-01,2082.285
2022-05-01,2065.927
2022-06-01,1905.008
2022-07-01,2108.350
2022-08-01,2057.202
2022-09-01,1920.641
2022-10-01,2084.731
2022-11-01,2128.260
2022-12-01,1961.861
2023-01-01,2054.374
2023-02-01,2047.676
2023-03-01,2021.465
2023-04-01,2009.273
2023-05-01,2010.031
2023-06-01,2085.217
2023-07-01,2134.187
2023-08-01,2116.915
2023-09-01,2100.795
2023-10-01,2037.982
2023-11-01,2122.990
2023-12-01,2184.871
2024-01-01,2259.192
