Date,WORLD SECTOR NEUTRAL QUALITY
1998-12-01,498.502
1999-01-01,527.786
1999-02-01,525.492
1999-03-01,552.241
1999-04-01,581.110
1999-05-01,563.170
1999-06-01,598.672
1999-07-01,566.491
1999-08-01,575.379
1999-09-01,559.739
1999-10-01,597.699
1999-11-01,639.767
1999-12-01,694.638
2000-01-01,655.289
2000-02-01,654.833
2000-03-01,710.692
2000-04-01,716.714
2000-05-01,697.992
2000-06-01,703.969
2000-07-01,721.082
2000-08-01,758.672
2000-09-01,741.056
2000-10-01,776.157
2000-11-01,728.569
2000-12-01,698.448
2001-01-01,701.488
2001-02-01,649.918
2001-03-01,631.143
2001-04-01,676.579
2001-05-01,696.882
2001-06-01,679.671
2001-07-01,664.355
2001-08-01,608.028
2001-09-01,566.600
2001-10-01,583.257
2001-11-01,622.883
2001-12-01,637.083
2002-01-01,650.483
2002-02-01,648.153
2002-03-01,661.445
2002-04-01,610.215
2002-05-01,582.393
2002-06-01,527.660
2002-07-01,487.061
2002-08-01,488.902
2002-09-01,434.633
2002-10-01,474.632
2002-11-01,494.205
2002-12-01,446.515
2003-01-01,420.024
2003-02-01,408.437
2003-03-01,404.215
2003-04-01,430.808
2003-05-01,428.796
2003-06-01,441.094
2003-07-01,454.967
2003-08-01,474.687
2003-09-01,445.407
2003-10-01,471.456
2003-11-01,462.789
2003-12-01,464.255
2004-01-01,475.234
2004-02-01,483.461
2004-03-01,482.381
2004-04-01,490.270
2004-05-01,485.094
2004-06-01,495.294
2004-07-01,488.938
2004-08-01,488.571
2004-09-01,488.350
2004-10-01,481.719
2004-11-01,482.952
2004-12-01,492.865
2005-01-01,503.434
2005-02-01,513.557
2005-03-01,514.934
2005-04-01,505.139
2005-05-01,539.877
2005-06-01,557.701
2005-07-01,573.948
2005-08-01,563.301
2005-09-01,583.393
2005-10-01,576.892
2005-11-01,605.164
2005-12-01,609.409
2006-01-01,611.982
2006-02-01,625.615
2006-03-01,629.614
2006-04-01,624.044
2006-05-01,592.229
2006-06-01,596.309
2006-07-01,597.837
2006-08-01,612.321
2006-09-01,625.940
2006-10-01,648.037
2006-11-01,639.953
2006-12-01,655.419
2007-01-01,671.039
2007-02-01,654.936
2007-03-01,661.833
2007-04-01,678.735
2007-05-01,708.385
2007-06-01,704.379
2007-07-01,681.689
2007-08-01,689.606
2007-09-01,703.285
2007-10-01,717.911
