Date,WORLD ENHANCED VALUE
1998-12-01,259.607
1999-01-01,272.310
1999-02-01,270.689
1999-03-01,294.039
1999-04-01,328.428
1999-05-01,324.896
1999-06-01,346.154
1999-07-01,340.170
1999-08-01,346.026
1999-09-01,337.782
1999-10-01,355.890
1999-11-01,388.443
1999-12-01,424.541
2000-01-01,405.649
2000-02-01,403.519
2000-03-01,422.235
2000-04-01,442.621
2000-05-01,428.240
2000-06-01,424.858
2000-07-01,430.722
2000-08-01,469.573
2000-09-01,456.197
2000-10-01,475.931
2000-11-01,451.910
2000-12-01,441.409
2001-01-01,465.457
2001-02-01,458.047
2001-03-01,457.015
2001-04-01,478.542
2001-05-01,496.933
2001-06-01,492.932
2001-07-01,480.133
2001-08-01,449.380
2001-09-01,402.599
2001-10-01,402.901
2001-11-01,434.885
2001-12-01,442.337
2002-01-01,453.612
2002-02-01,449.009
2002-03-01,472.917
2002-04-01,468.058
2002-05-01,461.049
2002-06-01,403.182
2002-07-01,370.772
2002-08-01,371.891
2002-09-01,327.130
2002-10-01,330.866
2002-11-01,345.137
2002-12-01,316.860
2003-01-01,307.882
2003-02-01,295.476
2003-03-01,286.713
2003-04-01,303.642
2003-05-01,315.107
2003-06-01,336.472
2003-07-01,359.450
2003-08-01,387.021
2003-09-01,378.897
2003-10-01,409.708
2003-11-01,403.121
2003-12-01,411.410
2004-01-01,429.499
2004-02-01,439.196
2004-03-01,455.372
2004-04-01,457.991
2004-05-01,451.606
2004-06-01,470.941
2004-07-01,461.176
2004-08-01,456.896
2004-09-01,461.013
2004-10-01,460.623
2004-11-01,476.325
2004-12-01,488.954
2005-01-01,502.300
2005-02-01,516.736
2005-03-01,517.444
2005-04-01,506.727
2005-05-01,540.610
2005-06-01,562.111
2005-07-01,582.175
2005-08-01,591.450
2005-09-01,630.453
2005-10-01,612.453
2005-11-01,638.788
2005-12-01,657.871
2006-01-01,679.479
2006-02-01,691.830
2006-03-01,701.647
2006-04-01,705.699
2006-05-01,668.886
2006-06-01,670.195
2006-07-01,684.102
2006-08-01,703.859
2006-09-01,721.088
2006-10-01,743.042
2006-11-01,739.219
2006-12-01,767.318
2007-01-01,789.251
2007-02-01,781.464
2007-03-01,795.498
2007-04-01,819.785
2007-05-01,859.009
2007-06-01,854.989
2007-07-01,816.647
