DATE,BTCEUR
2013-04-01,101.22606
2013-05-01,60.49713
2013-06-01,66.96935
2013-07-01,51.07647
2013-08-01,76.62856
2013-09-01,89.90589
2013-10-01,75.28346
2013-11-01,149.53652
2013-12-01,305.80322
2014-01-01,549.30877
2014-02-01,305.95299
2014-03-01,322.37693
2014-04-01,252.841
2014-05-01,304.97983
2014-06-01,406.01166
2014-07-01,421.37119
2014-08-01,331.52899
2014-09-01,293.35644
2014-10-01,231.1594
2014-11-01,256.00927
2014-12-01,246.9616
2015-01-01,145.49541
2015-02-01,187.85664
2015-03-01,216.46989
2015-04-01,197.53079
2015-05-01,201.20863
2015-06-01,202.59636
2015-07-01,228.48581
2015-08-01,172.42699
2015-09-01,201.33888
2015-10-01,211.30271
2015-11-01,279.89307
2015-12-01,328.93919
2016-01-01,325.31073
2016-02-01,339.56903
2016-03-01,358.08343
2016-04-01,364.79603
2016-05-01,390.49103
2016-06-01,472.69423
2016-07-01,552.84538
2016-08-01,473.68635
2016-09-01,509.51618
2016-10-01,542.49668
2016-11-01,610.78628
2016-12-01,704.61468
2017-01-01,710.69774
2017-02-01,889.49636
2017-03-01,837.00381
2017-04-01,996.42217
2017-05-01,1236.40536
2017-06-01,1985.2516
2017-07-01,1607.24691
2017-08-01,2250.2657
2017-09-01,2465.17202
2017-10-01,3536.64838
2017-11-01,4732.06702
2017-12-01,8137.87492
2018-01-01,7690.40572
2018-02-01,4879.20278
2018-03-01,5424.82767
2018-04-01,5297.35421
2018-05-01,6102.1344
2018-06-01,4999.06491
2018-07-01,5262.3445
2018-08-01,5233.17266
2018-09-01,5365.35365
2018-10-01,5380.44172
2018-11-01,3160.7323
2018-12-01,2822.04102
2019-01-01,2973.90122
2019-02-01,2990.34378
2019-03-01,3293.63765
2019-04-01,3650.21201
2019-05-01,4767.49068
2019-06-01,6721.80457
2019-07-01,8167.4776
2019-08-01,8503.15312
2019-09-01,7154.35348
2019-10-01,6688.14042
2019-11-01,6002.37268
2019-12-01,5884.59246
2020-01-01,6187.71121
2020-02-01,7722.22404
2020-03-01,3672.95092
2020-04-01,5675.86643
2020-05-01,7749.48124
2020-06-01,8000.97223
2020-07-01,7983.5742
2020-08-01,8786.70546
2020-09-01,8418.16459
2020-10-01,8894.07133
2020-11-01,11378.6289
2020-12-01,14539.37383
2021-01-01,23352.60533
2021-02-01,26701.18468
2021-03-01,37313.1596
2021-04-01,38985.66228
2021-05-01,25122.68466
2021-06-01,24278.27011
2021-07-01,24947.29951
2021-08-01,31646.16993
2021-09-01,33926.77551
2021-10-01,37424.38445
2021-11-01,47323.10093
2021-12-01,37893.52962
2022-01-01,29314.53275
2022-02-01,30690.86106
2022-03-01,34336.87807
2022-04-01,35754.01066
2022-05-01,25187.61669
2022-06-01,16871.78499
2022-07-01,18186.57442
2022-08-01,19722.1531
2022-09-01,18587.91691
2022-10-01,18966.97036
2022-11-01,15236.26014
2022-12-01,15426.75005
2023-01-01,15402.26681
2023-02-01,20019.25816
2023-03-01,18532.86032
2023-04-01,24536.77435
2023-05-01,23841.58945
2023-06-01,22877.94145
2023-07-01,26121.33102
2023-08-01,23371.04676
2023-09-01,23194.12665
2023-10-01,25197.36619
2023-11-01,32061.5057
2023-12-01,34527.30745
