DATE,DGS20PTRE
1999-01-01,135.2915311
1999-02-01,132.414734
1999-03-01,134.2709104
1999-04-01,137.7224536
1999-05-01,136.9698714
1999-06-01,136.9835112
1999-07-01,131.1389564
1999-08-01,131.9251489
1999-09-01,132.1525886
1999-10-01,133.6946187
1999-11-01,138.7714598
1999-12-01,136.5044687
2000-01-01,143.3534898
2000-02-01,150.0155553
2000-03-01,156.3296428
2000-04-01,163.4943338
2000-05-01,158.1903945
2000-06-01,158.1875327
2000-07-01,166.1990071
2000-08-01,177.7314711
2000-09-01,175.987326
2000-10-01,186.5071883
2000-11-01,188.0492294
2000-12-01,178.8985939
2001-01-01,179.9957026
2001-02-01,185.7577073
2001-03-01,193.3932227
2001-04-01,185.4631508
2001-05-01,194.9260792
2001-06-01,196.3417512
2001-07-01,197.7833638
2001-08-01,194.510451
2001-09-01,195.6588636
2001-10-01,208.6845324
2001-11-01,198.1469078
2001-12-01,195.6521739
2002-01-01,205.0383989
2002-02-01,206.1677062
2002-03-01,195.8816106
2002-04-01,197.0673184
2002-05-01,190.1916693
2002-06-01,183.6241883
2002-07-01,190.9452838
2002-08-01,199.8776259
2002-09-01,207.05537
2002-10-01,200.6274669
2002-11-01,196.7478856
2002-12-01,195.412494
2003-01-01,189.161002
2003-02-01,194.7676037
2003-03-01,189.9541284
2003-04-01,187.1109123
2003-05-01,188.5602584
2003-06-01,189.575726
2003-07-01,173.6443772
2003-08-01,180.4660477
2003-09-01,179.9055794
2003-10-01,174.8557154
2003-11-01,169.9624844
2003-12-01,164.5312376
2004-01-01,169.2177963
2004-02-01,173.2738526
2004-03-01,177.8636512
2004-04-01,171.3235908
2004-05-01,167.0459196
2004-06-01,169.5377289
2004-07-01,174.2436835
2004-08-01,179.5206435
2004-09-01,177.7401949
2004-10-01,176.0473874
2004-11-01,164.8616034
2004-12-01,165.7999705
2005-01-01,177.3392597
2005-02-01,171.6890161
2005-03-01,174.4313363
2005-04-01,181.902624
2005-05-01,196.2669042
2005-06-01,204.256902
2005-07-01,197.0731305
2005-08-01,201.2652068
2005-09-01,198.0593797
2005-10-01,194.3309712
2005-11-01,199.2536047
2005-12-01,204.2729269
2006-01-01,196.4303339
2006-02-01,202.0796646
2006-03-01,190.1886482
2006-04-01,178.3190748
2006-05-01,175.3370217
2006-06-01,177.7134361
2006-07-01,181.7612034
2006-08-01,187.1179551
2006-09-01,192.0706235
2006-10-01,192.2649338
2006-11-01,189.4879722
2006-12-01,185.1632947
2007-01-01,186.1901831
2007-02-01,189.2592593
2007-03-01,184.6717512
2007-04-01,182.4524158
2007-05-01,180.9707872
2007-06-01,178.4097633
2007-07-01,181.2850996
2007-08-01,185.9541089
2007-09-01,178.6623532
2007-10-01,178.5250207
2007-11-01,184.5928649
2007-12-01,184.9003629
2008-01-01,186.2071289
2008-02-01,182.142622
2008-03-01,177.2730149
2008-04-01,176.1626413
2008-05-01,171.2982005
2008-06-01,173.1902464
2008-07-01,174.7193534
2008-08-01,190.2651851
2008-09-01,199.9786947
2008-10-01,214.0829522
2008-11-01,245.4309122
2008-12-01,246.3826424
2009-01-01,238.6754139
2009-02-01,238.1851208
2009-03-01,240.0120655
2009-04-01,225.1812141
2009-05-01,205.1606966
2009-06-01,208.5449358
2009-07-01,205.7637089
2009-08-01,209.5304445
2009-09-01,209.6308954
2009-10-01,203.8224331
2009-11-01,204.5218087
2009-12-01,200.6000558
2010-01-01,213.5111752
2010-02-01,217.0131772
2010-03-01,215.7030903
2010-04-01,225.6427605
2010-05-01,253.7149325
2010-06-01,267.1873729
2010-07-01,252.0621318
2010-08-01,279.3608312
2010-09-01,256.0105875
2010-10-01,242.1764791
2010-11-01,253.1834919
2010-12-01,238.495742
2011-01-01,225.4393
2011-02-01,227.3472051
2011-03-01,220.7078897
2011-04-01,215.9166048
2011-05-01,230.6830829
2011-06-01,223.5488535
2011-07-01,236.4192383
2011-08-01,256.8721366
2011-09-01,298.2600937
2011-10-01,278.3107478
2011-11-01,294.4770683
2011-12-01,315.5322593
2012-01-01,313.2996246
2012-02-01,300.2395389
2012-03-01,289.4105295
2012-04-01,304.4447804
2012-05-01,350.3396959
2012-06-01,336.6514051
2012-07-01,356.410881
2012-08-01,345.1661631
2012-09-01,331.448351
2012-10-01,327.4425066
2012-11-01,331.4296695
2012-12-01,319.0201729
2013-01-01,298.5865724
2013-02-01,314.6265005
2013-03-01,321.8008739
2013-04-01,324.6506683
2013-05-01,307.2143517
2013-06-01,295.3804766
2013-07-01,285.0926065
2013-08-01,282.8357078
2013-09-01,278.5223495
2013-10-01,281.2932176
2013-11-01,273.4675878
2013-12-01,264.0612526
2014-01-01,284.7037037
2014-02-01,280.776474
2014-03-01,282.1441533
2014-04-01,284.6935833
2014-05-01,297.5513196
2014-06-01,295.9021183
2014-07-01,303.7490665
2014-08-01,321.2927757
2014-09-01,327.8824834
2014-10-01,339.7685555
2014-11-01,353.095353
2014-12-01,372.2254359
2015-01-01,427.7147919
2015-02-01,408.8863088
2015-03-01,431.8219905
2015-04-01,404.6676223
2015-05-01,402.8470075
2015-06-01,385.9332975
2015-07-01,404.5067102
2015-08-01,397.5343934
2015-09-01,407.6151227
2015-10-01,409.074443
2015-11-01,424.6260178
2015-12-01,411.3822636
2016-01-01,433.5025849
2016-02-01,444.7000368
2016-03-01,424.4161545
2016-04-01,419.2553099
2016-05-01,433.6506511
2016-06-01,465.3372009
2016-07-01,466.5204155
2016-08-01,458.8731383
2016-09-01,449.1368571
2016-10-01,442.0999818
2016-11-01,425.4774059
2016-12-01,423.6068992
2017-01-01,415.7031684
2017-02-01,428.7342249
2017-03-01,422.6023556
2017-04-01,421.633777
2017-05-01,414.1598434
2017-06-01,408.0623959
2017-07-01,391.5694233
2017-08-01,401.7487809
2017-09-01,395.3779734
2017-10-01,400
2017-11-01,393.0660615
2017-12-01,394.0775245
2018-01-01,367.6214998
2018-02-01,364.4828433
2018-03-01,371.4204545
2018-04-01,370.8795759
2018-05-01,390.428449
2018-06-01,391.136422
2018-07-01,384.1619682
2018-08-01,393.4201449
2018-09-01,383.1182241
2018-10-01,384.2746205
2018-11-01,391.8219553
2018-12-01,406.948324
2019-01-01,410.4417671
2019-02-01,407.3205027
2019-03-01,433.5055219
2019-04-01,427.5600393
2019-05-01,454.8838461
2019-06-01,452.426587
2019-07-01,463.2345013
2019-08-01,511.5843116
2019-09-01,502.7326914
2019-10-01,487.4406096
2019-11-01,488.6650331
2019-12-01,466.6607286
