date,IBCI
1995-11-01,114.218
1995-12-01,114.567
1996-01-01,114.927
1996-02-01,115.287
1996-03-01,115.625
1996-04-01,115.985
1996-05-01,116.334
1996-06-01,116.694
1996-07-01,117.043
1996-08-01,117.403
1996-09-01,117.764
1996-10-01,118.112
1996-11-01,118.473
1996-12-01,118.822
1997-01-01,119.182
1997-02-01,119.542
1997-03-01,119.868
1997-04-01,120.228
1997-05-01,120.577
1997-06-01,120.937
1997-07-01,121.286
1997-08-01,121.647
1997-09-01,122.007
1997-10-01,122.356
1997-11-01,122.716
1997-12-01,123.065
1998-01-01,123.425
1998-02-01,123.786
1998-03-01,124.111
1998-04-01,124.472
1998-05-01,124.82
1998-06-01,125.181
1998-07-01,125.53
1998-08-01,125.89
1998-09-01,126.25
1998-10-01,126.599
1998-11-01,126.96
1998-12-01,127.308
1999-01-01,127.669
1999-02-01,128.029
1999-03-01,128.355
1999-04-01,128.715
1999-05-01,129.064
1999-06-01,129.424
1999-07-01,129.773
1999-08-01,130.133
1999-09-01,130.494
1999-10-01,130.843
1999-11-01,131.203
1999-12-01,131.552
2000-01-01,131.912
2000-02-01,132.273
2000-03-01,132.61
2000-04-01,132.97
2000-05-01,133.319
2000-06-01,133.679
2000-07-01,134.028
2000-08-01,134.388
2000-09-01,134.749
2000-10-01,135.098
2000-11-01,135.458
2000-12-01,135.807
2001-01-01,136.167
2001-02-01,136.528
2001-03-01,136.853
2001-04-01,137.213
2001-05-01,137.562
2001-06-01,137.923
2001-07-01,138.271
2001-08-01,138.632
2001-09-01,138.992
2001-10-01,139.341
2001-11-01,139.701
2001-12-01,140.05
2002-01-01,140.41
2002-02-01,140.771
2002-03-01,141.096
2002-04-01,141.457
2002-05-01,141.806
2002-06-01,142.166
2002-07-01,142.515
2002-08-01,142.875
2002-09-01,143.236
2002-10-01,143.584
2002-11-01,143.945
2002-12-01,144.293
2003-01-01,144.654
2003-02-01,145.014
2003-03-01,145.34
2003-04-01,145.7
2003-05-01,146.049
2003-06-01,146.409
2003-07-01,146.758
2003-08-01,147.119
2003-09-01,147.479
2003-10-01,147.828
2003-11-01,148.188
2003-12-01,148.537
2004-01-01,148.897
2004-02-01,149.258
2004-03-01,149.595
2004-04-01,149.955
2004-05-01,150.304
2004-06-01,150.664
2004-07-01,151.013
2004-08-01,151.374
2004-09-01,151.734
2004-10-01,152.083
2004-11-01,152.443
2004-12-01,152.792
2005-01-01,153.152
2005-02-01,153.513
2005-03-01,153.838
2005-04-01,154.199
2005-05-01,154.547
2005-06-01,154.908
2005-07-01,155.256
2005-08-01,155.617
2005-09-01,155.977
2005-10-01,156.326
2005-11-01,155.95
2005-12-01,158.47
2006-01-01,160.21
2006-02-01,158.08
2006-03-01,158.45
2006-04-01,155.06
2006-05-01,153.62
2006-06-01,154.19
2006-07-01,154.71
2006-08-01,156.36
2006-09-01,158.93
2006-10-01,158.66
2006-11-01,159.81
2006-12-01,160.33
2007-01-01,157.19
2007-02-01,155.92
2007-03-01,157.57
2007-04-01,155.99
2007-05-01,155.93
2007-06-01,153.78
2007-07-01,153.09
2007-08-01,155.81
2007-09-01,156.66
2007-10-01,157.05
2007-11-01,159.46
2007-12-01,160.59
2008-01-01,159.65
2008-02-01,164.31
2008-03-01,165.7
2008-04-01,163.69
2008-05-01,163.65
2008-06-01,163.79
2008-07-01,163.81
2008-08-01,165.14
2008-09-01,166.29
2008-10-01,164.55
2008-11-01,155.51
2008-12-01,159.19
2009-01-01,165.34
2009-02-01,164.46
2009-03-01,162.25
2009-04-01,166.61
2009-05-01,169.19
2009-06-01,169.67
2009-07-01,171.62
2009-08-01,173.91
2009-09-01,175.64
2009-10-01,177.96
2009-11-01,176.48
2009-12-01,179.21
2010-01-01,178.24
2010-02-01,177.18
2010-03-01,177.37
2010-04-01,181.29
2010-05-01,181.81
2010-06-01,182.8
2010-07-01,181.53
2010-08-01,182.71
2010-09-01,187.09
2010-10-01,184.75
2010-11-01,185.54
2010-12-01,178.38
2011-01-01,179.67
2011-02-01,180.61
2011-03-01,181.21
2011-04-01,181.86
2011-05-01,183.38
2011-06-01,186.11
2011-07-01,184.92
2011-08-01,182.37
2011-09-01,182.9
2011-10-01,181.5
2011-11-01,175.12
2011-12-01,172.8
2012-01-01,177.66
2012-02-01,183.29
2012-03-01,190.44
2012-04-01,188.62
2012-05-01,186.94
2012-06-01,188.32
2012-07-01,186.15
2012-08-01,192.05
2012-09-01,193.2
2012-10-01,193.57
2012-11-01,193.38
2012-12-01,195.01
2013-01-01,196.76
2013-02-01,194.09
2013-03-01,194.44
2013-04-01,194.76
2013-05-01,197.58
2013-06-01,194.95
2013-07-01,189.52
2013-08-01,191.57
2013-09-01,188.61
2013-10-01,190.09
2013-11-01,190.93
2013-12-01,190.52
2014-01-01,188.77
2014-02-01,190.79
2014-03-01,190.71
2014-04-01,191.19
2014-05-01,193.24
2014-06-01,195.43
2014-07-01,196.89
2014-08-01,198.14
2014-09-01,200.75
2014-10-01,199.39
2014-11-01,198.91
2014-12-01,198.59
2015-01-01,198.4
2015-02-01,203.15
2015-03-01,204.89
2015-04-01,208.11
2015-05-01,206.69
2015-06-01,201.82
2015-07-01,198.12
2015-08-01,201.63
2015-09-01,196.93
2015-10-01,198.92
2015-11-01,202.54
2015-12-01,205.09
2016-01-01,199.86
2016-02-01,200.25
2016-03-01,199.03
2016-04-01,202.13
2016-05-01,201.78
2016-06-01,203.39
2016-07-01,206.55
2016-08-01,208.07
2016-09-01,207.65
2016-10-01,209.07
2016-11-01,204.33
2016-12-01,202.45
2017-01-01,207.0
2017-02-01,202.46
2017-03-01,203.62
2017-04-01,201.32
2017-05-01,203.57
2017-06-01,203.61
2017-07-01,203.51
2017-08-01,206.08
2017-09-01,206.22
2017-10-01,205.9
2017-11-01,208.96
2017-12-01,211.84
2018-01-01,209.48
2018-02-01,208.8
2018-03-01,209.14
2018-04-01,211.62
2018-05-01,211.75
2018-06-01,208.63
2018-07-01,210.54
2018-08-01,208.75
2018-09-01,207.61
2018-10-01,206.74
2018-11-01,205.94
2018-12-01,205.69
2019-01-01,205.99
2019-02-01,207.08
2019-03-01,206.18
2019-04-01,208.39
2019-05-01,209.58
2019-06-01,209.43
2019-07-01,215.16
2019-08-01,220.02
2019-09-01,223.43
2019-10-01,221.88
2019-11-01,220.52
2019-12-01,219.65
2020-01-01,219.3
2020-02-01,223.45
2020-03-01,221.17
2020-04-01,206.62
2020-05-01,208.27
2020-06-01,210.5
2020-07-01,214.43
2020-08-01,219.25
2020-09-01,218.32
2020-10-01,218.68
2020-11-01,220.88
2020-12-01,223.85
2021-01-01,225.36
2021-02-01,226.64
2021-03-01,225.03
2021-04-01,228.9
2021-05-01,226.57
2021-06-01,228.34
2021-07-01,229.0
2021-08-01,235.13
2021-09-01,234.16
2021-10-01,236.18
2021-11-01,235.37
2021-12-01,238.41
2022-01-01,239.3
2022-02-01,237.34
2022-03-01,244.38
2022-04-01,241.96
2022-05-01,240.7
2022-06-01,230.91
2022-07-01,227.07
2022-08-01,237.87
2022-09-01,224.66
2022-10-01,212.93
2022-11-01,220.37
2022-12-01,230.9
2023-01-01,215.76
2023-02-01,219.31
2023-03-01,218.75
2023-04-01,222.66
2023-05-01,222.82
2023-06-01,224.17
2023-07-01,223.75
2023-08-01,224.13
2023-09-01,223.37
2023-10-01,216.97
2023-11-01,217.48
2023-12-01,223.95
2024-01-01,228.43
2024-02-01,227.06
2024-03-01,224.81
2024-04-01,227.3
2024-05-01,226.0
2024-06-01,225.27
2024-07-01,222.75
