date,WORLD,USA_SMALL_VALUE,MOMENTUM,MINIMUM_VOLATILITY,QUALITY
1998-12-31,,100.000,100.000,100.000,100.000
1999-01-29,,102.425,108.287,102.239,105.874
1999-02-26,,98.888,107.853,102.309,105.414
1999-03-31,,100.198,113.118,105.906,110.780
1999-04-30,,111.863,114.743,112.563,116.571
1999-05-31,,115.588,112.702,112.532,112.972
1999-06-30,,121.722,122.394,114.565,120.094
1999-07-30,,115.009,117.540,111.822,113.639
1999-08-31,,112.128,118.653,111.777,115.422
1999-09-30,,109.164,118.316,110.392,112.284
1999-10-29,,109.592,127.946,115.380,119.899
1999-11-30,,116.501,143.424,120.541,128.338
1999-12-31,,121.517,170.247,126.629,139.345
2000-01-31,,121.113,163.480,123.244,131.451
2000-02-29,,128.364,179.879,121.283,131.360
2000-03-31,,132.394,187.592,129.907,142.565
2000-04-28,,133.274,182.867,134.445,143.773
2000-05-31,,127.946,166.065,130.970,140.018
2000-06-30,,128.946,169.674,129.135,141.217
2000-07-31,,134.261,168.413,131.813,144.650
2000-08-31,,147.044,186.210,140.940,152.190
2000-09-29,,146.540,166.927,143.096,148.656
2000-10-31,,148.627,163.755,148.960,155.698
2000-11-30,,138.641,153.703,143.326,146.152
2000-12-29,100.000,139.854,147.172,136.192,140.109
2001-01-31,102.901,149.257,141.994,133.190,140.719
2001-02-28,95.253,145.410,136.654,131.879,130.374
2001-03-30,92.564,146.381,134.015,131.036,126.608
2001-04-30,99.102,154.217,139.915,135.774,135.722
2001-05-31,102.305,167.981,146.102,143.278,139.795
2001-06-29,99.208,173.113,143.871,140.233,136.343
2001-07-31,94.705,164.198,137.302,136.237,133.270
2001-08-31,86.831,156.626,130.296,129.543,121.971
2001-09-28,78.964,139.130,118.828,122.293,113.660
2001-10-31,81.365,145.465,117.107,122.614,117.002
2001-11-30,86.681,155.756,120.277,127.117,124.951
2001-12-31,87.702,165.588,122.801,128.476,127.799
2002-01-31,87.950,170.642,125.954,129.328,130.487
2002-02-28,86.763,170.604,125.024,130.706,130.020
2002-03-29,89.817,182.581,129.145,133.598,132.686
2002-04-30,84.001,181.078,124.777,129.084,122.410
2002-05-31,81.155,169.955,121.705,126.212,116.829
2002-06-28,72.100,153.611,110.655,115.198,105.849
2002-07-31,66.501,137.505,104.337,107.762,97.705
2002-08-30,66.594,138.597,104.751,108.874,98.074
2002-09-30,58.809,126.876,98.980,99.459,87.188
2002-10-31,63.012,128.380,98.213,101.841,95.212
2002-11-29,66.103,136.348,97.012,103.320,99.138
2002-12-31,59.616,125.890,88.772,97.952,89.571
2003-01-31,56.501,119.455,84.369,92.831,84.257
2003-02-28,55.291,116.040,83.630,90.950,81.933
2003-03-31,54.432,115.028,82.794,90.231,81.086
2003-04-30,57.939,122.617,86.347,93.935,86.420
2003-05-30,58.106,127.112,85.654,93.837,86.017
2003-06-30,60.535,132.167,88.531,96.804,88.484
2003-07-31,63.008,140.352,91.581,98.662,91.267
2003-08-29,65.982,149.117,95.177,102.548,95.223
2003-09-30,62.581,139.499,90.696,98.943,89.349
