DATE,IBTS
1998-01-01,73.251
1998-02-01,73.438
1998-03-01,73.626
1998-04-01,73.814
1998-05-01,74.003
1998-06-01,74.192
1998-07-01,74.382
1998-08-01,74.572
1998-09-01,74.763
1998-10-01,74.954
1998-11-01,75.145
1998-12-01,75.337
1999-01-01,75.53
1999-02-01,75.723
1999-03-01,75.917
1999-04-01,76.111
1999-05-01,76.305
1999-06-01,76.5
1999-07-01,76.696
1999-08-01,76.892
1999-09-01,77.089
1999-10-01,77.286
1999-11-01,77.483
1999-12-01,77.681
2000-01-01,77.88
2000-02-01,78.079
2000-03-01,78.279
2000-04-01,78.479
2000-05-01,78.679
2000-06-01,78.881
2000-07-01,79.082
2000-08-01,79.284
2000-09-01,79.487
2000-10-01,79.69
2000-11-01,79.894
2000-12-01,80.098
2001-01-01,80.303
2001-02-01,80.508
2001-03-01,80.714
2001-04-01,80.921
2001-05-01,81.127
2001-06-01,81.335
2001-07-01,81.543
2001-08-01,81.751
2001-09-01,81.96
2001-10-01,82.17
2001-11-01,82.38
2001-12-01,82.59
2002-01-01,82.802
2002-02-01,83.013
2002-03-01,83.225
2002-04-01,83.438
2002-05-01,83.652
2002-06-01,83.865
2002-07-01,84.08
2002-08-01,84.295
2002-09-01,84.51
2002-10-01,84.726
2002-11-01,84.943
2002-12-01,85.16
2003-01-01,85.378
2003-02-01,85.596
2003-03-01,85.815
2003-04-01,86.034
2003-05-01,86.254
2003-06-01,86.475
2003-07-01,86.696
2003-08-01,86.917
2003-09-01,87.14
2003-10-01,87.362
2003-11-01,87.586
2003-12-01,87.81
2004-01-01,88.034
2004-02-01,88.259
2004-03-01,88.485
2004-04-01,88.711
2004-05-01,88.938
2004-06-01,89.165
2004-07-01,89.393
2004-08-01,89.622
2004-09-01,89.851
2004-10-01,90.081
2004-11-01,90.311
2004-12-01,90.542
2005-01-01,90.773
2005-02-01,91.005
2005-03-01,91.238
2005-04-01,91.471
2005-05-01,91.705
2005-06-01,91.939
2005-07-01,92.175
2005-08-01,92.41
2005-09-01,92.646
2005-10-01,92.883
2005-11-01,93.121
2005-12-01,93.359
2006-01-01,93.597
2006-02-01,93.837
2006-03-01,94.077
2006-04-01,94.317
2006-05-01,94.558
2006-06-01,94.8
2006-07-01,95.05
2006-08-01,95.088
2006-09-01,97.008
2006-10-01,97.24
2006-11-01,93.745
2006-12-01,94.058
2007-01-01,95.826
2007-02-01,94.68
2007-03-01,94.25
2007-04-01,92.558
2007-05-01,93.522
2007-06-01,93.563
2007-07-01,92.968
2007-08-01,93.867
2007-09-01,91.352
2007-10-01,90
2007-11-01,89.518
2007-12-01,90
2008-01-01,90.618
2008-02-01,89.639
2008-03-01,86.134
2008-04-01,86.925
2008-05-01,86.861
2008-06-01,85.707
2008-07-01,86.893
2008-08-01,92.374
2008-09-01,95.793
2008-10-01,108.279
2008-11-01,109.804
2008-12-01,101.008
2009-01-01,109.328
2009-02-01,110.58
2009-03-01,105.649
2009-04-01,105.791
2009-05-01,99.771
2009-06-01,99.346
2009-07-01,99.411
2009-08-01,98.848
2009-09-01,96.584
2009-10-01,95.763
2009-11-01,94.976
2009-12-01,98.17
2010-01-01,102.086
2010-02-01,105.248
2010-03-01,105.666
2010-04-01,107.269
2010-05-01,116.572
2010-06-01,117.475
2010-07-01,110.936
2010-08-01,114.159
2010-09-01,106.249
2010-10-01,104.859
2010-11-01,111.577
2010-12-01,108.323
2011-01-01,105.841
2011-02-01,104.625
2011-03-01,101.803
2011-04-01,97.775
2011-05-01,101.36
2011-06-01,100.907
2011-07-01,102.544
2011-08-01,101.532
2011-09-01,108.477
2011-10-01,104.683
2011-11-01,109.275
2011-12-01,113.369
2012-01-01,111.417
2012-02-01,109.032
2012-03-01,109.666
2012-04-01,111.043
2012-05-01,118.332
2012-06-01,116.488
2012-07-01,119.643
2012-08-01,116.532
2012-09-01,113.641
2012-10-01,112.996
2012-11-01,113.152
2012-12-01,111.384
2013-01-01,108.459
2013-02-01,112.01
2013-03-01,114.859
2013-04-01,112.611
2013-05-01,113.012
2013-06-01,112.277
2013-07-01,110.797
2013-08-01,111.011
2013-09-01,109.017
2013-10-01,108.026
2013-11-01,108.36
2013-12-01,106.812
2014-01-01,109.14
2014-02-01,106.864
2014-03-01,106.931
2014-04-01,106.586
2014-05-01,108.659
2014-06-01,108.191
2014-07-01,110.354
2014-08-01,112.122
2014-09-01,117.436
2014-10-01,118.262
2014-11-01,118.776
2014-12-01,121.835
2015-01-01,131.436
2015-02-01,131.887
2015-03-01,138.04
2015-04-01,132.479
2015-05-01,135.511
2015-06-01,132.893
2015-07-01,135.645
2015-08-01,132.52
2015-09-01,133.025
2015-10-01,135.145
2015-11-01,140.371
2015-12-01,136.3
2016-01-01,136.648
2016-02-01,137.175
2016-03-01,131.362
2016-04-01,131.204
2016-05-01,133.949
2016-06-01,135.378
2016-07-01,135.153
2016-08-01,134.692
2016-09-01,134.447
2016-10-01,136.965
2016-11-01,140.385
2016-12-01,141.706
2017-01-01,139.008
2017-02-01,141.232
2017-03-01,139.985
2017-04-01,137.118
2017-05-01,133.719
2017-06-01,131.363
2017-07-01,128.088
2017-08-01,127.284
2017-09-01,127.16
2017-10-01,128.891
2017-11-01,126.318
2017-12-01,124.804
2018-01-01,119.76
2018-02-01,122.083
2018-03-01,121.171
2018-04-01,123.358
2018-05-01,127.846
2018-06-01,128.292
2018-07-01,127.399
2018-08-01,128.75
2018-09-01,129.243
2018-10-01,132.383
2018-11-01,132.383
2018-12-01,132.36
2019-01-01,132.279
2019-02-01,133.226
2019-03-01,135.986
2019-04-01,136.452
2019-05-01,138.271
2019-06-01,136.184
2019-07-01,138.807
2019-08-01,141.419
2019-09-01,142.911
2019-10-01,139.99
2019-11-01,142.133
2019-12-01,139.236
2020-01-01,142.322
2020-02-01,144.548
2020-03-01,146.587
