DATE,XEON
1998-01-01,116.95
1998-02-01,117.03
1998-03-01,117.11
1998-04-01,117.19
1998-05-01,117.27
1998-06-01,117.35
1998-07-01,117.43
1998-08-01,117.51
1998-09-01,117.59
1998-10-01,117.67
1998-11-01,117.75
1998-12-01,117.83
1999-01-01,117.91
1999-02-01,117.99
1999-03-01,118.08
1999-04-01,118.16
1999-05-01,118.24
1999-06-01,118.32
1999-07-01,118.4
1999-08-01,118.48
1999-09-01,118.56
1999-10-01,118.64
1999-11-01,118.72
1999-12-01,118.8
2000-01-01,118.88
2000-02-01,118.97
2000-03-01,119.05
2000-04-01,119.13
2000-05-01,119.21
2000-06-01,119.29
2000-07-01,119.37
2000-08-01,119.46
2000-09-01,119.54
2000-10-01,119.62
2000-11-01,119.7
2000-12-01,119.78
2001-01-01,119.86
2001-02-01,119.95
2001-03-01,120.03
2001-04-01,120.11
2001-05-01,120.19
2001-06-01,120.27
2001-07-01,120.36
2001-08-01,120.44
2001-09-01,120.52
2001-10-01,120.6
2001-11-01,120.69
2001-12-01,120.77
2002-01-01,120.85
2002-02-01,120.93
2002-03-01,121.02
2002-04-01,121.1
2002-05-01,121.18
2002-06-01,121.27
2002-07-01,121.35
2002-08-01,121.43
2002-09-01,121.51
2002-10-01,121.6
2002-11-01,121.68
2002-12-01,121.76
2003-01-01,121.85
2003-02-01,121.93
2003-03-01,122.01
2003-04-01,122.1
2003-05-01,122.18
2003-06-01,122.26
2003-07-01,122.35
2003-08-01,122.43
2003-09-01,122.51
2003-10-01,122.6
2003-11-01,122.68
2003-12-01,122.77
2004-01-01,122.85
2004-02-01,122.93
2004-03-01,123.02
2004-04-01,123.1
2004-05-01,123.19
2004-06-01,123.27
2004-07-01,123.36
2004-08-01,123.44
2004-09-01,123.52
2004-10-01,123.61
2004-11-01,123.69
2004-12-01,123.78
2005-01-01,123.86
2005-02-01,123.95
2005-03-01,124.03
2005-04-01,124.12
2005-05-01,124.2
2005-06-01,124.29
2005-07-01,124.37
2005-08-01,124.46
2005-09-01,124.54
2005-10-01,124.63
2005-11-01,124.71
2005-12-01,124.8
2006-01-01,124.88
2006-02-01,124.97
2006-03-01,125.05
2006-04-01,125.14
2006-05-01,125.22
2006-06-01,125.31
2006-07-01,125.62
2006-08-01,125.94
2006-09-01,126.25
2006-10-01,126.61
2006-11-01,126.97
2006-12-01,127.32
2007-01-01,127.74
2007-02-01,128.1
2007-03-01,128.49
2007-04-01,128.91
2007-05-01,129.33
2007-06-01,129.73
2007-07-01,130.18
2007-08-01,130.62
2007-09-01,131.02
2007-10-01,131.47
2007-11-01,131.9
2007-12-01,132.32
2008-01-01,132.76
2008-02-01,133.18
2008-03-01,133.63
2008-04-01,134.06
2008-05-01,134.49
2008-06-01,134.93
2008-07-01,135.4
2008-08-01,135.86
2008-09-01,136.36
2008-10-01,136.79
2008-11-01,137.12
2008-12-01,137.41
2009-01-01,137.61
2009-02-01,137.73
2009-03-01,137.84
2009-04-01,137.93
2009-05-01,138
2009-06-01,138.06
2009-07-01,138.09
2009-08-01,138.11
2009-09-01,138.14
2009-10-01,138.16
2009-11-01,138.18
2009-12-01,138.21
2010-01-01,138.23
2010-02-01,138.25
2010-03-01,138.27
2010-04-01,138.3
2010-05-01,138.32
2010-06-01,138.34
2010-07-01,138.38
2010-08-01,138.41
2010-09-01,138.45
2010-10-01,138.51
2010-11-01,138.56
2010-12-01,138.6
2011-01-01,138.66
2011-02-01,138.72
2011-03-01,138.78
2011-04-01,138.87
2011-05-01,138.98
2011-06-01,139.1
2011-07-01,139.19
2011-08-01,139.29
2011-09-01,139.39
2011-10-01,139.49
2011-11-01,139.56
2011-12-01,139.62
2012-01-01,139.65
2012-02-01,139.68
2012-03-01,139.7
2012-04-01,139.73
2012-05-01,139.75
2012-06-01,139.77
2012-07-01,139.78
2012-08-01,139.78
2012-09-01,139.78
2012-10-01,139.78
2012-11-01,139.77
2012-12-01,139.77
2013-01-01,139.77
2013-02-01,139.76
2013-03-01,139.76
2013-04-01,139.76
2013-05-01,139.76
2013-06-01,139.75
2013-07-01,139.76
2013-08-01,139.75
2013-09-01,139.75
2013-10-01,139.75
2013-11-01,139.75
2013-12-01,139.76
2014-01-01,139.77
2014-02-01,139.78
2014-03-01,139.79
2014-04-01,139.81
2014-05-01,139.82
2014-06-01,139.82
2014-07-01,139.82
2014-08-01,139.81
2014-09-01,139.8
2014-10-01,139.78
2014-11-01,139.77
2014-12-01,139.76
2015-01-01,139.74
2015-02-01,139.73
2015-03-01,139.71
2015-04-01,139.69
2015-05-01,139.67
