Date,MULTIFACTOR
1998-11-01,224.901
1998-12-01,239.807
1999-01-01,243.944
1999-02-01,237.152
1999-03-01,251.428
1999-04-01,261.218
1999-05-01,252.774
1999-06-01,263.88
1999-07-01,261.983
1999-08-01,257.489
1999-09-01,253.992
1999-10-01,264.069
1999-11-01,278.443
1999-12-01,315.328
2000-01-01,292.54
2000-02-01,305.595
2000-03-01,318.954
2000-04-01,303.16
2000-05-01,292.457
2000-06-01,303.953
2000-07-01,297.347
2000-08-01,313.676
2000-09-01,298.495
2000-10-01,295.653
2000-11-01,280.845
2000-12-01,295.68
2001-01-01,297.187
2001-02-01,279.058
2001-03-01,257.916
2001-04-01,278.374
2001-05-01,277.749
2001-06-01,272.799
2001-07-01,269.933
2001-08-01,265.047
2001-09-01,236.678
2001-10-01,241.061
2001-11-01,258.017
2001-12-01,264.044
2002-01-01,263.511
2002-02-01,265.811
2002-03-01,279.892
2002-04-01,282.235
2002-05-01,284.461
2002-06-01,271.202
2002-07-01,246.969
2002-08-01,246.318
2002-09-01,225.794
2002-10-01,231.964
2002-11-01,237.979
2002-12-01,233.916
2003-01-01,227.135
2003-02-01,224.228
2003-03-01,223.189
2003-04-01,240.342
2003-05-01,258.326
2003-06-01,262.299
2003-07-01,269.2
2003-08-01,277.157
2003-09-01,279.447
2003-10-01,301.697
2003-11-01,308.331
2003-12-01,326.189
2004-01-01,333.719
2004-02-01,343.179
2004-03-01,347.318
2004-04-01,339.181
2004-05-01,343.931
2004-06-01,353.881
2004-07-01,343.661
2004-08-01,345.635
2004-09-01,358.967
2004-10-01,365.673
2004-11-01,392.371
2004-12-01,410.045
2005-01-01,408.073
2005-02-01,429.64
2005-03-01,423.799
2005-04-01,412.302
2005-05-01,422.76
2005-06-01,436.039
2005-07-01,454.381
2005-08-01,461.433
2005-09-01,476.877
2005-10-01,457.215
2005-11-01,470.646
2005-12-01,487.042
2006-01-01,518.712
2006-02-01,518.847
2006-03-01,532.768
2006-04-01,551.686
2006-05-01,532.001
2006-06-01,534.841
2006-07-01,539.397
2006-08-01,549.643
2006-09-01,558.411
2006-10-01,580.807
2006-11-01,603.112
2006-12-01,621.592
2007-01-01,629.637
2007-02-01,634.38
2007-03-01,652.428
2007-04-01,684.938
2007-05-01,704.03
2007-06-01,691.418
2007-07-01,668.222
2007-08-01,663.669
2007-09-01,688.613
2007-10-01,711.488
2007-11-01,674.28
2007-12-01,665.437
2008-01-01,612.103
2008-02-01,615.533
2008-03-01,609.274
2008-04-01,634.076
2008-05-01,652.31
2008-06-01,614.107
2008-07-01,586.383
2008-08-01,582.461
2008-09-01,506.764
2008-10-01,400.786
2008-11-01,377.958
2008-12-01,396.589
2009-01-01,370.563
2009-02-01,335.758
2009-03-01,356.675
2009-04-01,394.717
2009-05-01,429.622
2009-06-01,429.024
2009-07-01,463.492
2009-08-01,481.628
2009-09-01,502.114
2009-10-01,493.266
2009-11-01,515.104
2009-12-01,528.239
2010-01-01,512.535
2010-02-01,522.298
2010-03-01,554.086
2010-04-01,555.656
2010-05-01,509.954
2010-06-01,497.404
2010-07-01,529.603
2010-08-01,513.45
2010-09-01,565.849
2010-10-01,586.768
2010-11-01,576.58
2010-12-01,616.22
2011-01-01,634.878
2011-02-01,655.017
2011-03-01,662.525
2011-04-01,697.517
2011-05-01,689.672
2011-06-01,680.773
2011-07-01,663.278
2011-08-01,619.443
2011-09-01,561.059
2011-10-01,624.032
2011-11-01,613.699
