Date,WORLD SECTOR NEUTRAL QUALITY
1998-11-01,405.609
1998-12-01,428.981
1999-01-01,439.251
1999-02-01,422.746
1999-03-01,436.920
1999-04-01,450.541
1999-05-01,430.399
1999-06-01,452.442
1999-07-01,444.313
1999-08-01,445.381
1999-09-01,436.843
1999-10-01,460.380
1999-11-01,472.084
1999-12-01,510.256
2000-01-01,469.827
2000-02-01,462.014
2000-03-01,498.377
2000-04-01,478.623
2000-05-01,474.382
2000-06-01,494.514
2000-07-01,489.652
2000-08-01,494.300
2000-09-01,479.238
2000-10-01,482.116
2000-11-01,464.783
2000-12-01,480.552
2001-01-01,478.069
2001-02-01,437.994
2001-03-01,408.875
2001-04-01,439.574
2001-05-01,432.873
2001-06-01,421.659
2001-07-01,425.985
2001-08-01,404.751
2001-09-01,378.149
2001-10-01,384.991
2001-11-01,408.705
2001-12-01,415.711
2002-01-01,410.392
2002-02-01,410.870
2002-03-01,422.882
2002-04-01,402.964
2002-05-01,398.740
2002-06-01,381.897
2002-07-01,349.943
2002-08-01,351.373
2002-09-01,314.775
2002-10-01,344.456
2002-11-01,360.273
2002-12-01,343.390
2003-01-01,330.435
2003-02-01,322.607
2003-03-01,323.241
2003-04-01,352.337
2003-05-01,369.593
2003-06-01,371.207
2003-07-01,375.280
2003-08-01,381.927
2003-09-01,380.124
2003-10-01,401.647
2003-11-01,406.541
2003-12-01,429.144
2004-01-01,432.657
2004-02-01,440.218
2004-03-01,434.428
2004-04-01,430.700
2004-05-01,434.116
2004-06-01,441.611
2004-07-01,431.393
2004-08-01,435.133
2004-09-01,444.491
2004-10-01,449.064
2004-11-01,470.387
2004-12-01,490.951
2005-01-01,480.929
2005-02-01,499.556
2005-03-01,490.443
2005-04-01,477.893
2005-05-01,488.523
2005-06-01,494.801
2005-07-01,510.898
2005-08-01,507.695
2005-09-01,515.458
2005-10-01,506.374
2005-11-01,522.852
2005-12-01,526.788
2006-01-01,544.597
2006-02-01,546.619
2006-03-01,558.372
2006-04-01,576.071
2006-05-01,557.464
2006-06-01,558.770
2006-07-01,559.107
2006-08-01,574.403
2006-09-01,581.078
2006-10-01,606.150
2006-11-01,621.662
2006-12-01,633.373
2007-01-01,639.025
2007-02-01,634.009
2007-03-01,645.633
2007-04-01,678.835
2007-05-01,698.574
2007-06-01,697.152
2007-07-01,683.837
2007-08-01,688.949
2007-09-01,732.972
2007-10-01,761.158
2007-11-01,735.378
2007-12-01,727.089
2008-01-01,667.916
2008-02-01,664.364
2008-03-01,655.385
2008-04-01,686.263
2008-05-01,698.839
2008-06-01,654.389
2008-07-01,635.653
2008-08-01,630.230
2008-09-01,564.476
2008-10-01,461.163
2008-11-01,439.315
2008-12-01,451.451
2009-01-01,415.598
2009-02-01,375.429
2009-03-01,404.901
2009-04-01,443.899
2009-05-01,483.769
2009-06-01,486.430
2009-07-01,523.416
2009-08-01,537.116
2009-09-01,557.110
2009-10-01,556.685
2009-11-01,581.843
2009-12-01,593.191
2010-01-01,568.765
2010-02-01,576.562
2010-03-01,608.492
2010-04-01,607.486
2010-05-01,549.467
2010-06-01,537.046
2010-07-01,577.831
2010-08-01,561.068
2010-09-01,614.818
2010-10-01,640.981
2010-11-01,628.940
2010-12-01,668.158
2011-01-01,678.943
2011-02-01,700.266
2011-03-01,702.169
2011-04-01,737.564
2011-05-01,725.660
2011-06-01,716.687
2011-07-01,708.560
2011-08-01,670.723
2011-09-01,613.558
2011-10-01,676.068
2011-11-01,664.348
2011-12-01,663.881
2012-01-01,695.009
2012-02-01,731.412
2012-03-01,736.928
2012-04-01,736.067
2012-05-01,673.329
2012-06-01,704.754
2012-07-01,718.648
2012-08-01,733.952
2012-09-01,751.156
2012-10-01,744.766
2012-11-01,754.571
2012-12-01,761.821
2013-01-01,799.406
2013-02-01,800.482
2013-03-01,820.129
2013-04-01,841.801
2013-05-01,843.190
2013-06-01,817.546
2013-07-01,859.906
2013-08-01,842.756
2013-09-01,884.113
2013-10-01,917.914
2013-11-01,937.911
2013-12-01,959.162
2014-01-01,912.957
2014-02-01,964.047
2014-03-01,967.631
2014-04-01,985.660
2014-05-01,1000.000
2014-06-01,1012.743
2014-07-01,1002.208
2014-08-01,1034.336
2014-09-01,1005.623
2014-10-01,1026.067
2014-11-01,1039.012
2014-12-01,1023.678
2015-01-01,1016.194
2015-02-01,1068.226
2015-03-01,1051.592
2015-04-01,1076.125
2015-05-01,1081.740
2015-06-01,1056.012
2015-07-01,1081.154
2015-08-01,1010.123
2015-09-01,988.990
2015-10-01,1072.057
2015-11-01,1069.061
2015-12-01,1050.638
2016-01-01,998.507
2016-02-01,999.229
2016-03-01,1065.081
2016-04-01,1069.831
2016-05-01,1077.446
2016-06-01,1072.851
2016-07-01,1107.412
2016-08-01,1102.641
2016-09-01,1105.247
2016-10-01,1072.254
2016-11-01,1086.371
2016-12-01,1103.699
2017-01-01,1120.114
2017-02-01,1160.776
2017-03-01,1176.151
2017-04-01,1195.192
2017-05-01,1227.291
2017-06-01,1223.720
2017-07-01,1242.958
2017-08-01,1246.874
2017-09-01,1274.154
2017-10-01,1303.775
2017-11-01,1341.844
2017-12-01,1359.847
2018-01-01,1415.789
2018-02-01,1366.305
2018-03-01,1350.682
2018-04-01,1358.894
2018-05-01,1381.241
2018-06-01,1372.517
2018-07-01,1418.867
2018-08-01,1441.985
2018-09-01,1448.306
2018-10-01,1347.509
2018-11-01,1354.614
2018-12-01,1261.929
2019-01-01,1355.085
2019-02-01,1415.843
2019-03-01,1445.256
2019-04-01,1491.663
2019-05-01,1405.024
2019-06-01,1499.728
2019-07-01,1506.843
2019-08-01,1474.341
2019-09-01,1500.976
2019-10-01,1543.658
2019-11-01,1594.638
2019-12-01,1648.674
2020-01-01,1641.431
2020-02-01,1503.348
2020-03-01,1335.992
2020-04-01,1472.454
2020-05-01,1541.651
2020-06-01,1563.617
2020-07-01,1627.058
2020-08-01,1740.251
2020-09-01,1687.403
2020-10-01,1634.827
