Date,WORLD ENHANCED VALUE
1997-11-01,199.990
1997-12-01,197.889
1998-01-01,198.355
1998-02-01,223.488
1998-03-01,231.302
1998-04-01,225.184
1998-05-01,217.939
1998-06-01,210.398
1998-07-01,201.975
1998-08-01,173.912
1998-09-01,175.181
1998-10-01,207.806
1998-11-01,218.079
1998-12-01,223.402
1999-01-01,226.631
1999-02-01,217.763
1999-03-01,232.637
1999-04-01,254.633
1999-05-01,248.300
1999-06-01,261.604
1999-07-01,266.804
1999-08-01,267.846
1999-09-01,263.619
1999-10-01,274.126
1999-11-01,286.632
1999-12-01,311.853
2000-01-01,290.841
2000-02-01,284.701
2000-03-01,296.095
2000-04-01,295.584
2000-05-01,291.048
2000-06-01,298.448
2000-07-01,292.483
2000-08-01,305.942
2000-09-01,295.021
2000-10-01,295.628
2000-11-01,288.291
2000-12-01,303.702
2001-01-01,317.212
2001-02-01,308.688
2001-03-01,296.069
2001-04-01,310.909
2001-05-01,308.674
2001-06-01,305.809
2001-07-01,307.862
2001-08-01,299.142
2001-09-01,268.694
2001-10-01,265.943
2001-11-01,285.350
2001-12-01,288.635
2002-01-01,286.185
2002-02-01,284.631
2002-03-01,302.351
2002-04-01,309.088
2002-05-01,315.661
2002-06-01,291.805
2002-07-01,266.391
2002-08-01,267.277
2002-09-01,236.918
2002-10-01,240.121
2002-11-01,251.603
2002-12-01,243.680
2003-01-01,242.213
2003-02-01,233.384
2003-03-01,229.278
2003-04-01,248.334
2003-05-01,271.601
2003-06-01,283.161
2003-07-01,296.493
2003-08-01,311.392
2003-09-01,323.362
2003-10-01,349.042
2003-11-01,354.125
2003-12-01,380.295
2004-01-01,391.020
2004-02-01,399.913
2004-03-01,410.104
2004-04-01,402.343
2004-05-01,404.147
2004-06-01,419.897
2004-07-01,406.898
2004-08-01,406.922
2004-09-01,419.609
2004-10-01,429.398
2004-11-01,463.933
2004-12-01,487.055
2005-01-01,479.845
2005-02-01,502.649
2005-03-01,492.834
2005-04-01,479.396
2005-05-01,489.186
2005-06-01,498.714
2005-07-01,518.221
2005-08-01,533.065
2005-09-01,557.038
2005-10-01,537.588
2005-11-01,551.903
2005-12-01,568.680
2006-01-01,604.662
2006-02-01,604.474
2006-03-01,622.255
2006-04-01,651.448
2006-05-01,629.622
2006-06-01,628.005
