DATE,DGS1PTR
1993-04-01,100.00
1993-05-01,99.92
1993-06-01,100.39
1993-07-01,100.60
1993-08-01,101.04
1993-09-01,101.31
1993-10-01,101.52
1993-11-01,101.64
1993-12-01,101.97
1994-01-01,102.37
1994-02-01,102.18
1994-03-01,102.06
1994-04-01,101.89
1994-05-01,102.02
1994-06-01,102.35
1994-07-01,102.95
1994-08-01,103.23
1994-09-01,103.31
1994-10-01,103.61
1994-11-01,103.43
1994-12-01,103.75
1995-01-01,104.71
1995-02-01,105.70
1995-03-01,106.22
1995-04-01,106.96
1995-05-01,108.04
1995-06-01,108.72
1995-07-01,109.20
1995-08-01,109.74
1995-09-01,110.25
1995-10-01,110.87
1995-11-01,111.58
1995-12-01,112.27
1996-01-01,113.05
1996-02-01,113.16
1996-03-01,113.46
1996-04-01,113.74
1996-05-01,114.11
1996-06-01,114.73
1996-07-01,115.11
1996-08-01,115.60
1996-09-01,116.38
1996-10-01,117.23
1996-11-01,117.83
1996-12-01,118.21
1997-01-01,118.67
1997-02-01,119.12
1997-03-01,119.28
1997-04-01,120.01
1997-05-01,120.74
1997-06-01,121.44
1997-07-01,122.26
1997-08-01,122.66
1997-09-01,123.36
1997-10-01,124.05
1997-11-01,124.42
1997-12-01,125.00
1998-01-01,125.89
1998-02-01,126.23
1998-03-01,126.80
1998-04-01,127.38
1998-05-01,127.93
1998-06-01,128.55
1998-07-01,129.13
1998-08-01,130.23
1998-09-01,131.44
1998-10-01,132.21
1998-11-01,132.23
1998-12-01,132.72
1999-01-01,133.25
1999-02-01,133.28
1999-03-01,134.02
1999-04-01,134.47
1999-05-01,134.76
1999-06-01,135.19
1999-07-01,135.68
1999-08-01,136.04
1999-09-01,136.74
1999-10-01,137.06
1999-11-01,137.33
1999-12-01,137.61
2000-01-01,137.88
2000-02-01,138.73
2000-03-01,139.34
2000-04-01,140.12
2000-05-01,140.67
2000-06-01,141.79
2000-07-01,142.52
2000-08-01,143.03
2000-09-01,143.97
2000-10-01,144.63
2000-11-01,145.63
2000-12-01,147.17
2001-01-01,148.83
2001-02-01,149.58
2001-03-01,150.69
2001-04-01,151.42
2001-05-01,152.36
2001-06-01,152.69
2001-07-01,153.44
2001-08-01,154.07
2001-09-01,155.89
2001-10-01,156.85
2001-11-01,157.14
2001-12-01,157.24
2002-01-01,157.34
2002-02-01,157.70
2002-03-01,157.30
2002-04-01,158.20
2002-05-01,158.52
2002-06-01,159.26
2002-07-01,159.94
2002-08-01,160.28
2002-09-01,160.84
2002-10-01,161.16
2002-11-01,161.19
2002-12-01,161.78
2003-01-01,161.98
2003-02-01,162.27
2003-03-01,162.51
2003-04-01,162.63
2003-05-01,162.94
2003-06-01,163.16
2003-07-01,163.00
2003-08-01,163.06
2003-09-01,163.56
2003-10-01,163.46
2003-11-01,163.51
