DATE,DGS20
1993-10-01,6.120
1993-11-01,6.460
1993-12-01,6.480
1994-01-01,6.290
1994-02-01,6.750
1994-03-01,7.230
1994-04-01,7.440
1994-05-01,7.580
1994-06-01,7.750
1994-07-01,7.460
1994-08-01,7.600
1994-09-01,7.980
1994-10-01,8.090
1994-11-01,8.100
1994-12-01,8.020
1995-01-01,7.810
1995-02-01,7.580
1995-03-01,7.540
1995-04-01,7.420
1995-05-01,6.720
1995-06-01,6.640
1995-07-01,6.880
1995-08-01,6.720
1995-09-01,6.600
1995-10-01,6.400
1995-11-01,6.200
1995-12-01,6.010
1996-01-01,6.070
1996-02-01,6.570
1996-03-01,6.830
1996-04-01,7.060
1996-05-01,7.170
1996-06-01,7.030
1996-07-01,7.070
1996-08-01,7.280
1996-09-01,7.050
1996-10-01,6.740
1996-11-01,6.450
1996-12-01,6.730
1997-01-01,6.860
1997-02-01,6.910
1997-03-01,7.220
1997-04-01,7.050
1997-05-01,6.990
1997-06-01,6.860
1997-07-01,6.350
1997-08-01,6.690
1997-09-01,6.470
1997-10-01,6.210
1997-11-01,6.120
1997-12-01,6.020
1998-01-01,5.880
1998-02-01,5.990
1998-03-01,6.020
1998-04-01,6.040
1998-05-01,5.900
1998-06-01,5.730
1998-07-01,5.810
1998-08-01,5.450
1998-09-01,5.170
1998-10-01,5.380
1998-11-01,5.330
1998-12-01,5.390
1999-01-01,5.350
1999-02-01,5.850
1999-03-01,5.920
1999-04-01,5.940
1999-05-01,6.150
1999-06-01,6.290
1999-07-01,6.400
1999-08-01,6.490
1999-09-01,6.470
1999-10-01,6.520
1999-11-01,6.620
1999-12-01,6.830
2000-01-01,6.720
2000-02-01,6.460
2000-03-01,6.200
2000-04-01,6.310
2000-05-01,6.420
2000-06-01,6.260
2000-07-01,6.130
2000-08-01,5.960
2000-09-01,6.130
2000-10-01,6.020
2000-11-01,5.780
2000-12-01,5.590
2001-01-01,5.650
2001-02-01,5.510
2001-03-01,5.600
2001-04-01,5.920
2001-05-01,5.950
2001-06-01,5.910
2001-07-01,5.610
2001-08-01,5.470
2001-09-01,5.450
2001-10-01,5.050
2001-11-01,5.540
2001-12-01,5.740
2002-01-01,5.680
2002-02-01,5.610
2002-03-01,6.030
2002-04-01,5.740
2002-05-01,5.770
2002-06-01,5.650
2002-07-01,5.410
2002-08-01,5.060
2002-09-01,4.750
2002-10-01,5.030
2002-11-01,5.180
2002-12-01,4.830
2003-01-01,4.930
2003-02-01,4.700
2003-03-01,4.840
2003-04-01,4.790
2003-05-01,4.360
2003-06-01,4.520
2003-07-01,5.430
2003-08-01,5.330
2003-09-01,4.910
2003-10-01,5.200
2003-11-01,5.200
2003-12-01,5.100
2004-01-01,5.000
2004-02-01,4.850
2004-03-01,4.770
2004-04-01,5.310
2004-05-01,5.390
2004-06-01,5.330
2004-07-01,5.240
2004-08-01,4.930
2004-09-01,4.890
2004-10-01,4.790
2004-11-01,5.030
2004-12-01,4.850
2005-01-01,4.640
