DATE,DGS20PTR
1993-10-01,100.00
1993-11-01,96.75
1993-12-01,97.05
1994-01-01,99.64
1994-02-01,95.20
1994-03-01,90.98
1994-04-01,89.56
1994-05-01,88.84
1994-06-01,87.89
1994-07-01,91.05
1994-08-01,90.32
1994-09-01,87.51
1994-10-01,87.15
1994-11-01,87.64
1994-12-01,88.92
1995-01-01,91.36
1995-02-01,94.08
1995-03-01,95.05
1995-04-01,96.81
1995-05-01,104.73
1995-06-01,106.23
1995-07-01,104.08
1995-08-01,106.48
1995-09-01,108.46
1995-10-01,111.46
1995-11-01,114.56
1995-12-01,117.64
1996-01-01,117.42
1996-02-01,111.58
1996-03-01,109.07
1996-04-01,107.04
1996-05-01,106.43
1996-06-01,108.63
1996-07-01,108.81
1996-08-01,107.07
1996-09-01,110.31
1996-10-01,114.65
1996-11-01,118.96
1996-12-01,115.99
1997-01-01,115.02
1997-02-01,115.06
1997-03-01,112.00
1997-04-01,114.67
1997-05-01,116.07
1997-06-01,118.35
1997-07-01,125.75
1997-08-01,121.77
1997-09-01,125.40
1997-10-01,129.74
1997-11-01,131.73
1997-12-01,133.91
1998-01-01,136.74
1998-02-01,135.68
1998-03-01,135.89
1998-04-01,136.25
1998-05-01,139.13
1998-06-01,142.58
1998-07-01,141.93
1998-08-01,148.74
1998-09-01,154.52
1998-10-01,151.27
1998-11-01,152.86
1998-12-01,152.43
1999-01-01,153.84
1999-02-01,145.59
1999-03-01,145.12
1999-04-01,145.49
1999-05-01,142.75
1999-06-01,141.23
1999-07-01,140.24
1999-08-01,139.59
1999-09-01,140.65
1999-10-01,140.62
1999-11-01,139.84
1999-12-01,137.46
2000-01-01,139.87
2000-02-01,144.66
2000-03-01,149.67
2000-04-01,148.60
2000-05-01,147.56
2000-06-01,150.99
2000-07-01,154.00
2000-08-01,157.79
2000-09-01,155.52
2000-10-01,158.27
2000-11-01,163.49
2000-12-01,167.95
2001-01-01,167.54
2001-02-01,171.12
2001-03-01,170.07
2001-04-01,164.58
2001-05-01,164.81
2001-06-01,166.38
2001-07-01,173.10
2001-08-01,176.81
2001-09-01,178.03
2001-10-01,187.67
2001-11-01,177.50
2001-12-01,174.15
2002-01-01,176.21
2002-02-01,178.50
2002-03-01,170.75
2002-04-01,177.40
2002-05-01,177.62
2002-06-01,180.98
2002-07-01,187.05
2002-08-01,196.00
2002-09-01,204.55
2002-10-01,198.24
2002-11-01,195.41
2002-12-01,204.89
2003-01-01,203.14
2003-02-01,209.94
2003-03-01,207.05
2003-04-01,209.19
2003-05-01,221.86
2003-06-01,218.05
2003-07-01,195.02
2003-08-01,198.26
2003-09-01,209.59
2003-10-01,202.99
2003-11-01,203.87
2003-12-01,207.26
2004-01-01,210.71
2004-02-01,215.57
2004-03-01,218.63
2004-04-01,205.16
2004-05-01,204.08
2004-06-01,206.48
2004-07-01,209.65
2004-08-01,218.71
2004-09-01,220.70
2004-10-01,224.39
2004-11-01,218.59
2004-12-01,224.46
2005-01-01,231.41
2005-02-01,227.90
2005-03-01,226.22
2005-04-01,235.00
2005-05-01,242.37
2005-06-01,247.11
2005-07-01,239.03
2005-08-01,248.16
2005-09-01,238.82
2005-10-01,233.10
2005-11-01,234.92
2005-12-01,241.90
2006-01-01,238.82
2006-02-01,240.98
2006-03-01,230.87
2006-04-01,225.11
2006-05-01,225.01
2006-06-01,227.10
2006-07-01,232.00
2006-08-01,239.38
2006-09-01,243.68
2006-10-01,245.58
2006-11-01,251.28
2006-12-01,244.36
2007-01-01,242.01
2007-02-01,250.39
2007-03-01,246.98
2007-04-01,249.23
2007-05-01,243.46
2007-06-01,241.21
2007-07-01,248.56
2007-08-01,253.66
2007-09-01,254.04
2007-10-01,258.29
2007-11-01,271.13
2007-12-01,270.01
2008-01-01,276.35
2008-02-01,276.62
2008-03-01,280.18
2008-04-01,274.25
2008-05-01,266.54
2008-06-01,272.74
2008-07-01,272.37
2008-08-01,279.10
2008-09-01,281.59
2008-10-01,271.50
2008-11-01,311.55
2008-12-01,342.94
2009-01-01,305.60
2009-02-01,301.59
2009-03-01,318.28
2009-04-01,298.23
2009-05-01,289.81
2009-06-01,292.38
2009-07-01,293.81
2009-08-01,300.76
2009-09-01,306.69
2009-10-01,300.74
2009-11-01,306.66
2009-12-01,287.50
2010-01-01,296.14
2010-02-01,296.44
2010-03-01,291.76
2010-04-01,300.15
2010-05-01,313.82
2010-06-01,328.40
2010-07-01,329.42
2010-08-01,354.90
2010-09-01,348.20
2010-10-01,336.48
2010-11-01,330.05
2010-12-01,316.46
2011-01-01,309.19
2011-02-01,313.58
2011-03-01,313.03
2011-04-01,320.01
2011-05-01,331.63
2011-06-01,324.66
2011-07-01,340.16
2011-08-01,370.05
2011-09-01,401.13
2011-10-01,388.16
2011-11-01,396.16
2011-12-01,409.34
2012-01-01,408.95
2012-02-01,401.09
2012-03-01,385.90
2012-04-01,402.75
2012-05-01,433.16
2012-06-01,426.47
2012-07-01,438.92
2012-08-01,434.15
2012-09-01,426.11
2012-10-01,424.30
2012-11-01,431.19
2012-12-01,420.66
2013-01-01,405.60
2013-02-01,411.50
2013-03-01,412.42
2013-04-01,427.50
2013-05-01,399.01
2013-06-01,384.29
2013-07-01,378.66
2013-08-01,373.23
2013-09-01,376.98
2013-10-01,382.39
2013-11-01,372.08
2013-12-01,363.85
2014-01-01,384.35
2014-02-01,387.64
2014-03-01,388.71
2014-04-01,394.87
2014-05-01,405.86
2014-06-01,405.09
2014-07-01,406.72
2014-08-01,422.50
2014-09-01,414.05
2014-10-01,425.73
2014-11-01,439.18
2014-12-01,450.43
2015-01-01,482.89
2015-02-01,457.83
2015-03-01,463.82
2015-04-01,451.69
2015-05-01,442.89
2015-06-01,430.47
2015-07-01,446.09
2015-08-01,445.00
2015-09-01,454.98
2015-10-01,451.70
2015-11-01,448.49
2015-12-01,446.72
2016-01-01,469.57
2016-02-01,483.30
2016-03-01,483.41
2016-04-01,479.67
2016-05-01,482.87
2016-06-01,513.36
2016-07-01,521.01
2016-08-01,511.46
2016-09-01,504.74
2016-10-01,484.63
2016-11-01,450.07
2016-12-01,446.99
2017-01-01,448.71
2017-02-01,455.23
2017-03-01,452.10
2017-04-01,459.37
2017-05-01,465.35
2017-06-01,465.64
2017-07-01,463.07
2017-08-01,477.84
2017-09-01,467.06
2017-10-01,465.92
2017-11-01,467.67
2017-12-01,473.76
2018-01-01,456.88
2018-02-01,445.07
2018-03-01,457.59
2018-04-01,447.80
2018-05-01,455.63
2018-06-01,456.73
2018-07-01,449.70
2018-08-01,456.21
2018-09-01,445.26
2018-10-01,435.46
2018-11-01,443.66
2018-12-01,466.20
2019-01-01,470.12
2019-02-01,463.49
2019-03-01,486.74
2019-04-01,478.91
2019-05-01,507.15
2019-06-01,514.59
2019-07-01,515.58
2019-08-01,562.18
2019-09-01,548.23
2019-10-01,543.74
2019-11-01,538.46
2019-12-01,523.92
2020-01-01,561.46
2020-02-01,598.10
2020-03-01,631.76
2020-04-01,643.70
2020-05-01,629.44
2020-06-01,630.06
2020-07-01,653.45
2020-08-01,621.84
2020-09-01,625.78
2020-10-01,604.79
2020-11-01,611.82
2020-12-01,604.07
2021-01-01,581.38
2021-02-01,544.48
2021-03-01,525.55
2021-04-01,536.68
2021-05-01,538.52
2021-06-01,555.34
2021-07-01,573.82
2021-08-01,570.88
2021-09-01,555.93
2021-10-01,560.50
2021-11-01,573.50
2021-12-01,565.90
2022-01-01,545.89
2022-02-01,539.90
2022-03-01,512.55
2022-04-01,472.27
2022-05-01,463.92
2022-06-01,458.52
2022-07-01,471.85
2022-08-01,451.04
2022-09-01,418.90
2022-10-01,400.61
2022-11-01,426.02
2022-12-01,419.43
2023-01-01,441.78
2023-02-01,424.13
2023-03-01,442.56
2023-04-01,444.57
2023-05-01,433.30
2023-06-01,431.81
2023-07-01,424.06
2023-08-01,416.08
2023-09-01,389.93
2023-10-01,377.68
2023-11-01,402.91
2023-12-01,432.45
2024-01-01,425.97
2024-02-01,418.09
2024-03-01,422.93
