DATE;DGS5PTR
1993-04-01;100.00
1993-05-01;99.44
1993-06-01;101.26
1993-07-01;101.20
1993-08-01;103.22
1993-09-01;103.68
1993-10-01;103.91
1993-11-01;102.89
1993-12-01;103.07
1994-01-01;104.36
1994-02-01;102.22
1994-03-01;100.00
1994-04-01;98.82
1994-05-01;98.83
1994-06-01;98.57
1994-07-01;100.12
1994-08-01;100.35
1994-09-01;98.99
1994-10-01;98.79
1994-11-01;98.17
1994-12-01;98.65
1995-01-01;100.44
1995-02-01;103.04
1995-03-01;103.56
1995-04-01;105.02
1995-05-01;109.14
1995-06-01;110.15
1995-07-01;109.87
1995-08-01;110.84
1995-09-01;111.68
1995-10-01;113.18
1995-11-01;115.08
1995-12-01;116.35
1996-01-01;117.51
1996-02-01;115.63
1996-03-01;114.39
1996-04-01;113.53
1996-05-01;113.01
1996-06-01;114.43
1996-07-01;114.57
1996-08-01;114.43
1996-09-01;116.35
1996-10-01;118.73
1996-11-01;120.64
1996-12-01;119.35
1997-01-01;119.72
1997-02-01;119.69
1997-03-01;118.45
1997-04-01;120.09
1997-05-01;121.04
1997-06-01;122.25
1997-07-01;125.48
1997-08-01;124.41
1997-09-01;126.21
1997-10-01;128.33
1997-11-01;128.34
1997-12-01;129.62
1998-01-01;132.01
1998-02-01;131.47
1998-03-01;131.80
1998-04-01;132.36
1998-05-01;133.49
1998-06-01;134.62
1998-07-01;134.94
1998-08-01;139.13
1998-09-01;143.88
1998-10-01;144.32
1998-11-01;143.12
1998-12-01;143.34
1999-01-01;143.94
1999-02-01;140.40
1999-03-01;141.55
1999-04-01;141.42
1999-05-01;139.87
1999-06-01;140.10
1999-07-01;139.87
1999-08-01;140.19
1999-09-01;141.47
1999-10-01;141.01
1999-11-01;140.88
1999-12-01;140.13
2000-01-01;138.84
2000-02-01;140.19
2000-03-01;142.65
2000-04-01;141.98
2000-05-01;142.86
2000-06-01;145.79
2000-07-01;146.66
2000-08-01;148.52
2000-09-01;150.07
2000-10-01;150.92
2000-11-01;154.30
2000-12-01;157.86
2001-01-01;159.47
2001-02-01;161.15
2001-03-01;162.35
2001-04-01;160.51
2001-05-01;161.38
2001-06-01;161.83
2001-07-01;165.33
2001-08-01;166.76
2001-09-01;171.31
2001-10-01;173.95
2001-11-01;171.24
2001-12-01;169.55
2002-01-01;169.87
2002-02-01;171.62
2002-03-01;167.46
2002-04-01;170.94
2002-05-01;172.78
2002-06-01;175.56
2002-07-01;180.59
2002-08-01;183.66
2002-09-01;189.16
2002-10-01;188.01
2002-11-01;184.44
2002-12-01;189.19
2003-01-01;187.55
2003-02-01;190.88
2003-03-01;190.51
2003-04-01;190.34
2003-05-01;195.68
2003-06-01;194.60
2003-07-01;186.89
2003-08-01;186.74
2003-09-01;192.51
2003-10-01;189.29
2003-11-01;188.87
2003-12-01;190.51
2004-01-01;191.72
2004-02-01;193.63
2004-03-01;195.98
2004-04-01;189.13
2004-05-01;188.18
2004-06-01;188.77
2004-07-01;190.22
2004-08-01;194.08
2004-09-01;194.17
2004-10-01;195.42
2004-11-01;192.28
2004-12-01;193.65
2005-01-01;193.54
2005-02-01;191.64
2005-03-01;190.75
2005-04-01;193.79
2005-05-01;195.64
2005-06-01;196.60
2005-07-01;193.72
2005-08-01;196.54
2005-09-01;194.48
2005-10-01;192.84
2005-11-01;193.81
2005-12-01;195.12
2006-01-01;194.80
2006-02-01;194.33
2006-03-01;193.29
2006-04-01;193.23
2006-05-01;193.01
2006-06-01;193.32
2006-07-01;195.73
2006-08-01;198.32
2006-09-01;200.05
2006-10-01;200.99
2006-11-01;202.81
2006-12-01;201.35
2007-01-01;201.08
2007-02-01;204.53
2007-03-01;205.12
2007-04-01;206.16
2007-05-01;203.80
2007-06-01;204.09
2007-07-01;207.78
2007-08-01;211.78
2007-09-01;212.72
2007-10-01;214.12
2007-11-01;222.13
2007-12-01;222.36
2008-01-01;229.44
2008-02-01;233.39
2008-03-01;234.30
2008-04-01;228.68
2008-05-01;225.32
2008-06-01;226.68
2008-07-01;228.23
2008-08-01;230.41
2008-09-01;232.27
2008-10-01;234.77
2008-11-01;244.95
2008-12-01;249.78
2009-01-01;246.56
2009-02-01;245.31
2009-03-01;249.45
2009-04-01;245.69
2009-05-01;242.43
2009-06-01;240.66
2009-07-01;241.28
2009-08-01;243.36
2009-09-01;244.75
2009-10-01;245.22
2009-11-01;249.16
2009-12-01;241.75
2010-01-01;246.24
2010-02-01;247.18
2010-03-01;244.78
2010-04-01;246.67
2010-05-01;250.99
2010-06-01;255.12
2010-07-01;257.81
2010-08-01;261.49
2010-09-01;262.54
2010-10-01;264.08
2010-11-01;260.55
2010-12-01;254.24
2011-01-01;255.39
2011-02-01;253.64
2011-03-01;252.79
2011-04-01;256.48
2011-05-01;260.43
2011-06-01;259.81
2011-07-01;265.30
2011-08-01;270.63
2011-09-01;270.84
2011-10-01;270.67
2011-11-01;271.28
2011-12-01;273.22
2012-01-01;275.01
2012-02-01;273.03
2012-03-01;270.98
2012-04-01;274.12
2012-05-01;276.32
2012-06-01;275.80
2012-07-01;277.59
2012-08-01;277.86
2012-09-01;277.59
2012-10-01;276.38
2012-11-01;278.04
