date,IBTS
1994-06-01,113.723
1994-07-01,113.855
1994-08-01,113.992
1994-09-01,114.129
1994-10-01,114.261
1994-11-01,114.398
1994-12-01,114.53
1995-01-01,114.667
1995-02-01,114.804
1995-03-01,114.927
1995-04-01,115.064
1995-05-01,115.196
1995-06-01,115.333
1995-07-01,115.465
1995-08-01,115.602
1995-09-01,115.739
1995-10-01,115.871
1995-11-01,116.008
1995-12-01,116.14
1996-01-01,116.277
1996-02-01,116.414
1996-03-01,116.542
1996-04-01,116.678
1996-05-01,116.811
1996-06-01,116.947
1996-07-01,117.08
1996-08-01,117.216
1996-09-01,117.353
1996-10-01,117.485
1996-11-01,117.622
1996-12-01,117.755
1997-01-01,117.891
1997-02-01,118.028
1997-03-01,118.152
1997-04-01,118.288
1997-05-01,118.421
1997-06-01,118.557
1997-07-01,118.69
1997-08-01,118.826
1997-09-01,118.963
1997-10-01,119.095
1997-11-01,119.232
1997-12-01,119.365
1998-01-01,119.501
1998-02-01,119.638
1998-03-01,119.762
1998-04-01,119.898
1998-05-01,120.031
1998-06-01,120.167
1998-07-01,120.3
1998-08-01,120.436
1998-09-01,120.573
1998-10-01,120.705
1998-11-01,120.842
1998-12-01,120.975
1999-01-01,121.111
1999-02-01,121.248
1999-03-01,121.371
1999-04-01,121.508
1999-05-01,121.641
1999-06-01,121.777
1999-07-01,121.91
1999-08-01,122.046
1999-09-01,122.183
1999-10-01,122.315
1999-11-01,122.452
1999-12-01,122.585
2000-01-01,122.721
2000-02-01,122.858
2000-03-01,122.986
2000-04-01,123.123
2000-05-01,123.255
2000-06-01,123.392
2000-07-01,123.524
2000-08-01,123.661
2000-09-01,123.798
2000-10-01,123.93
2000-11-01,124.067
2000-12-01,124.199
2001-01-01,124.336
2001-02-01,124.472
2001-03-01,124.596
2001-04-01,124.733
2001-05-01,124.865
2001-06-01,125.002
2001-07-01,125.134
2001-08-01,125.271
2001-09-01,125.407
2001-10-01,125.54
2001-11-01,125.677
2001-12-01,125.809
2002-01-01,125.946
2002-02-01,126.082
2002-03-01,126.206
2002-04-01,126.343
2002-05-01,126.475
2002-06-01,126.612
2002-07-01,126.744
2002-08-01,126.881
2002-09-01,127.017
2002-10-01,127.15
2002-11-01,127.287
2002-12-01,127.419
2003-01-01,127.556
2003-02-01,127.692
2003-03-01,127.816
2003-04-01,127.953
2003-05-01,128.085
2003-06-01,128.222
2003-07-01,128.354
2003-08-01,128.491
2003-09-01,128.627
2003-10-01,128.76
2003-11-01,128.897
2003-12-01,129.029
2004-01-01,129.166
2004-02-01,129.302
2004-03-01,129.43
2004-04-01,129.567
2004-05-01,129.699
2004-06-01,129.836
2004-07-01,129.968
2004-08-01,130.105
2004-09-01,130.242
2004-10-01,130.374
2004-11-01,130.511
2004-12-01,130.643
2005-01-01,130.78
2005-02-01,130.917
2005-03-01,131.04
2005-04-01,131.177
2005-05-01,131.309
2005-06-01,131.446
2005-07-01,131.578
2005-08-01,131.715
2005-09-01,131.852
2005-10-01,131.984
2005-11-01,132.121
