DATE,IQ12260
1994-12-01,136.8
1995-01-01,135.9
1995-02-01,136.1
1995-03-01,135.9
1995-04-01,138.7
1995-05-01,139.1
1995-06-01,137.3
1995-07-01,137.7
1995-08-01,137.3
1995-09-01,136.4
1995-10-01,136.4
1995-11-01,136.3
1995-12-01,138.0
1996-01-01,138.3
1996-02-01,140.8
1996-03-01,141.2
1996-04-01,139.3
1996-05-01,138.6
1996-06-01,138.9
1996-07-01,136.5
1996-08-01,135.9
1996-09-01,138.0
1996-10-01,136.4
1996-11-01,135.8
1996-12-01,134.6
1997-01-01,131.3
1997-02-01,126.3
1997-03-01,123.3
1997-04-01,125.1
1997-05-01,122.5
1997-06-01,122.3
1997-07-01,121.2
1997-08-01,115.3
1997-09-01,115.3
1997-10-01,114.8
1997-11-01,115.6
1997-12-01,109.2
1998-01-01,102.7
1998-02-01,102.9
1998-03-01,105.8
1998-04-01,105.3
1998-05-01,109.7
1998-06-01,106.5
1998-07-01,104.0
1998-08-01,104.2
1998-09-01,100.9
1998-10-01,102.8
1998-11-01,105.3
1998-12-01,104.5
1999-01-01,103.6
1999-02-01,102.1
1999-03-01,102.2
1999-04-01,101.7
1999-05-01,100.5
1999-06-01,98.5
1999-07-01,92.0
1999-08-01,91.5
1999-09-01,92.3
1999-10-01,94.7
1999-11-01,111.0
1999-12-01,105.0
2000-01-01,101.3
2000-02-01,102.1
2000-03-01,107.0
2000-04-01,102.3
2000-05-01,100.0
2000-06-01,98.2
2000-07-01,101.8
2000-08-01,100.3
2000-09-01,98.1
2000-10-01,97.8
2000-11-01,96.3
2000-12-01,95.0
2001-01-01,97.0
2001-02-01,94.8
2001-03-01,93.7
2001-04-01,93.9
2001-05-01,93.1
2001-06-01,97.2
2001-07-01,94.7
2001-08-01,94.4
2001-09-01,95.9
2001-10-01,99.8
2001-11-01,99.5
2001-12-01,97.4
2002-01-01,97.2
2002-02-01,99.0
2002-03-01,104.0
2002-04-01,103.6
2002-05-01,106.8
2002-06-01,110.8
2002-07-01,113.3
2002-08-01,110.6
2002-09-01,109.5
2002-10-01,112.5
2002-11-01,111.6
2002-12-01,112.4
2003-01-01,117.0
2003-02-01,126.4
2003-03-01,127.2
2003-04-01,119.4
