Date,SP500
1985-01-01,179.630
1985-02-01,181.180
1985-03-01,180.660
1985-04-01,179.830
1985-05-01,189.550
1985-06-01,191.850
1985-07-01,190.920
1985-08-01,188.630
1985-09-01,182.080
1985-10-01,189.820
1985-11-01,202.170
1985-12-01,211.280
1986-01-01,211.780
1986-02-01,226.920
1986-03-01,238.900
1986-04-01,235.520
1986-05-01,247.350
1986-06-01,250.840
1986-07-01,236.120
1986-08-01,252.930
1986-09-01,231.320
1986-10-01,243.980
1986-11-01,249.220
1986-12-01,242.170
1987-01-01,274.080
1987-02-01,284.200
1987-03-01,291.700
1987-04-01,288.360
1987-05-01,290.100
1987-06-01,304.000
1987-07-01,318.660
1987-08-01,329.800
1987-09-01,321.830
1987-10-01,251.790
1987-11-01,230.300
1987-12-01,247.080
1988-01-01,257.070
1988-02-01,267.820
1988-03-01,258.890
1988-04-01,261.330
1988-05-01,262.160
1988-06-01,273.500
1988-07-01,272.020
1988-08-01,261.520
1988-09-01,271.910
1988-10-01,278.970
1988-11-01,273.700
1988-12-01,277.720
1989-01-01,297.470
1989-02-01,288.860
1989-03-01,294.870
1989-04-01,309.640
1989-05-01,320.520
1989-06-01,317.980
1989-07-01,346.080
1989-08-01,351.450
1989-09-01,349.150
1989-10-01,340.360
1989-11-01,345.990
1989-12-01,353.400
1990-01-01,329.080
1990-02-01,331.890
1990-03-01,339.940
1990-04-01,330.800
1990-05-01,361.230
1990-06-01,358.020
1990-07-01,356.150
1990-08-01,322.560
1990-09-01,306.050
1990-10-01,304.000
1990-11-01,322.220
1990-12-01,330.220
1991-01-01,343.930
1991-02-01,367.070
1991-03-01,375.220
1991-04-01,375.340
1991-05-01,389.830
1991-06-01,371.160
1991-07-01,387.810
1991-08-01,395.430
1991-09-01,387.860
1991-10-01,392.450
1991-11-01,375.220
1991-12-01,417.090
1992-01-01,408.780
1992-02-01,412.700
1992-03-01,403.690
1992-04-01,414.950
1992-05-01,415.350
1992-06-01,408.140
1992-07-01,424.210
1992-08-01,414.030
1992-09-01,417.800
1992-10-01,418.680
1992-11-01,431.350
1992-12-01,435.710
1993-01-01,438.780
1993-02-01,443.380
1993-03-01,451.670
1993-04-01,440.190
1993-05-01,450.190
1993-06-01,450.530
1993-07-01,448.130
1993-08-01,463.560
1993-09-01,458.930
1993-10-01,467.830
1993-11-01,461.790
1993-12-01,466.450
1994-01-01,481.610
1994-02-01,467.140
1994-03-01,445.770
1994-04-01,450.910
1994-05-01,456.500
1994-06-01,444.270
1994-07-01,458.260
1994-08-01,475.490
1994-09-01,462.710
1994-10-01,472.350
1994-11-01,453.690
1994-12-01,459.270
1995-01-01,470.420
1995-02-01,487.390
1995-03-01,500.710
1995-04-01,514.710
1995-05-01,533.400
1995-06-01,544.750
1995-07-01,562.060
1995-08-01,561.880
1995-09-01,584.410
1995-10-01,581.500
1995-11-01,605.370
1995-12-01,615.930
1996-01-01,636.020
1996-02-01,640.430
1996-03-01,645.500
1996-04-01,654.170
1996-05-01,669.120
1996-06-01,670.630
1996-07-01,639.950
1996-08-01,651.990
1996-09-01,687.330
1996-10-01,705.270
1996-11-01,757.020
1996-12-01,740.740
1997-01-01,786.160
1997-02-01,790.820
1997-03-01,757.120
1997-04-01,801.340
1997-05-01,848.280
1997-06-01,885.140
1997-07-01,954.310
1997-08-01,899.470
1997-09-01,947.280
1997-10-01,914.620
1997-11-01,955.400
1997-12-01,970.430
1998-01-01,980.280
1998-02-01,1049.340
1998-03-01,1101.750
1998-04-01,1111.750
1998-05-01,1090.820
1998-06-01,1133.840
1998-07-01,1120.670
1998-08-01,957.280
1998-09-01,1017.010
1998-10-01,1098.670
1998-11-01,1163.630
1998-12-01,1229.230
1999-01-01,1279.640
1999-02-01,1238.330
1999-03-01,1286.370
1999-04-01,1335.180
1999-05-01,1301.840
1999-06-01,1372.710
1999-07-01,1328.720
1999-08-01,1320.410
1999-09-01,1282.710
1999-10-01,1362.930
1999-11-01,1388.910
1999-12-01,1469.250
2000-01-01,1394.460
2000-02-01,1366.420
2000-03-01,1498.580
2000-04-01,1452.430
2000-05-01,1420.600
2000-06-01,1454.600
2000-07-01,1430.830
2000-08-01,1517.680
2000-09-01,1436.510
2000-10-01,1429.400
