Date,Backtest 60 min vol
11/1994,10000
12/1994,10227.229538909765
01/1995,9984.958278363736
02/1995,10066.341405704541
03/1995,10146.1924922762
04/1995,10249.569320734714
05/1995,10546.476353349584
06/1995,10602.918638552315
07/1995,10764.62033424027
08/1995,10986.14790500681
09/1995,11342.580164128356
10/1995,11216.261115960735
11/1995,11507.817154360815
12/1995,11862.757936165945
01/1996,12215.47270335466
02/1996,12245.826098692753
03/1996,12327.480933440527
04/1996,12555.727787688273
05/1996,12787.17853703006
06/1996,12771.666274561658
07/1996,12347.408045261043
08/1996,12443.34381470966
09/1996,12802.642902184078
10/1996,12951.076175055689
11/1996,13297.849114493776
12/1996,13467.580134235463
01/1997,13830.116130537739
02/1997,14358.958305259377
03/1997,14184.250844684506
04/1997,14476.381433612878
05/1997,15054.589318909246
06/1997,15647.684332419843
07/1997,16542.798562908032
08/1997,16278.857362149127
09/1997,16777.066968542487
10/1997,16045.422714373726
11/1997,15941.706216242874
12/1997,16522.2898269597
01/1998,17095.165215187277
02/1998,17665.85830308055
03/1998,18384.405868371323
04/1998,18454.193434954337
05/1998,18106.965445758586
06/1998,18382.5764453281
07/1998,18386.97360343077
08/1998,16879.2197522487
09/1998,16748.88588254575
10/1998,16961.981795463624
11/1998,17825.195894375698
12/1998,18349.17907427194
01/1999,18936.311483935
02/1999,18803.580597835433
03/1999,19379.281642173755
04/1999,20064.804845227452
05/1999,19911.788435454015
06/1999,20418.868916042382
07/1999,19865.014238672426
08/1999,19826.325905764133
09/1999,19966.325635145222
10/1999,20735.63773705453
11/1999,21689.428995211958
12/1999,22936.21873562558
01/2000,22531.783647409065
02/2000,23034.131035445465
03/2000,23990.671851380026
04/2000,24249.402642844667
05/2000,23294.464122554513
06/2000,23481.45694853348
07/2000,23720.832566413508
08/2000,25040.639716888385
09/2000,24716.401925823502
10/2000,25053.604561072512
11/2000,24260.137975844802
12/2000,23759.852386039904
01/2001,23607.387003552434
02/2001,23297.015602108637
03/2001,23332.902568164984
04/2001,23855.87972697219
05/2001,24887.36095843578
06/2001,24802.382448530163
07/2001,24241.543352401168
08/2001,23457.41957056672
09/2001,22651.127219411133
10/2001,22793.550538814343
11/2001,23415.716494126485
12/2001,23950.58698117244
01/2002,24141.43289801057
02/2002,24366.54405508644
03/2002,24870.928271801367
04/2002,24498.28263126708
05/2002,24020.46920199035
06/2002,22490.916058755476
07/2002,21708.373435249792
08/2002,21889.22966402686
09/2002,21199.192578430873
10/2002,21284.522204012093
11/2002,21456.215636249843
12/2002,20689.755170604232
01/2003,20121.47848893111
02/2003,19927.916598075764
03/2003,19762.237326098137
04/2003,20343.847017199267
05/2003,20455.276876236952
06/2003,20928.54145356358
07/2003,21120.947987251817
08/2003,21990.248640731574
09/2003,21354.904694839886
10/2003,21953.099510097323
11/2003,21836.687903384358
12/2003,21781.956418126374
01/2004,22217.601221830926
02/2004,22496.90638186658
03/2004,23217.395111986443
04/2004,22889.35771390391
05/2004,22726.826817446417
06/2004,23171.412565732484
07/2004,22893.786384931645
08/2004,23178.186394208948
09/2004,23191.825846645464
10/2004,23160.875758797465
11/2004,23521.244257184233
12/2004,23547.108093413743
01/2005,23953.739379215036
02/2005,24353.205906103
03/2005,24489.559652564738
04/2005,24309.083333655402
05/2005,25504.359196711142
06/2005,26480.336329700975
07/2005,26972.199233324507
08/2005,27042.489852935254
09/2005,27915.822161345925
10/2005,27281.824361363968
11/2005,28387.484895406
12/2005,28996.57155629388
01/2006,29571.648540039445
02/2006,29819.910107742107
03/2006,29865.17424133392
04/2006,29798.547347683947
05/2006,28643.923586141194
06/2006,28656.96575582574
07/2006,28830.545183468326
08/2006,29070.269311204407
09/2006,29369.33431524364
10/2006,30105.665663639385
11/2006,30116.980787270026
12/2006,30490.390225223462
01/2007,31220.149340876385
02/2007,30913.825279398243
03/2007,31053.847214137677
04/2007,31323.600843978376
05/2007,31893.932515094486
06/2007,31308.345460318043
07/2007,30653.479158668226
08/2007,30840.137454349795
09/2007,31319.544662149463
10/2007,31731.414711528316
11/2007,30660.286755864407
12/2007,30772.981450013274
01/2008,29855.468159830154
02/2008,29573.866887792137
03/2008,28463.494089735505
04/2008,29154.516496008717
05/2008,29504.4005809819
06/2008,28376.522400322858
07/2008,28243.612908857634
08/2008,29158.064961459262
09/2008,28284.814885997577
10/2008,27132.639020207997
11/2008,27065.0708528015
12/2008,26224.22511441045
01/2009,26402.02522497398
02/2009,25120.33409452011
03/2009,25019.42320039036
04/2009,26290.96216112111
05/2009,26428.451978235586
06/2009,26361.02114469152
07/2009,27678.994819541258
08/2009,28191.745862396172
09/2009,28617.47960001623
10/2009,27948.23379426531
11/2009,28786.595289670513
12/2009,29779.35596351549
01/2010,29702.49836255642
02/2010,30907.356621387837
