Date,GALLETTA
12/2006,10000
01/2007,10197.085240396025
02/2007,10085.557672448094
03/2007,10121.059673632559
04/2007,10206.349332844351
05/2007,10367.847892355308
06/2007,10227.469181653014
07/2007,10102.034830027122
08/2007,10159.634714641517
09/2007,10338.683213074124
10/2007,10474.971376463429
11/2007,10167.280207368885
12/2007,10234.552211421184
01/2008,9982.732156892873
02/2008,9922.002743510004
03/2008,9580.036786136847
04/2008,9800.064151084036
05/2008,9897.928683792106
06/2008,9602.33970100197
07/2008,9522.962211392613
08/2008,9756.335666417079
09/2008,9500.343688526249
10/2008,9196.118004937856
11/2008,9201.98469086559
12/2008,8973.175410422728
01/2009,9102.66213954359
02/2009,8765.651689901404
03/2009,8713.226460731266
04/2009,8970.45415254714
05/2009,8968.761834577339
06/2009,8937.975700022682
07/2009,9299.843049116194
08/2009,9405.50669699595
09/2009,9498.037874466412
10/2009,9386.92768558887
11/2009,9686.369061687696
12/2009,9942.491474821954
01/2010,9899.078032549627
02/2010,10252.611477667535
03/2010,10620.245475645015
04/2010,10840.87867362665
05/2010,11017.382603032895
06/2010,10909.989184308859
07/2010,10763.145457035931
08/2010,10945.398985107655
09/2010,10936.015054473695
10/2010,11053.767539607952
11/2010,11493.263198510955
12/2010,11617.801662972313
01/2011,11404.470049592906
02/2011,11603.206503249847
03/2011,11456.198360716864
04/2011,11483.08420670856
05/2011,11712.766706107068
06/2011,11588.069959318442
07/2011,11736.038947538036
08/2011,11605.765878713984
09/2011,11687.829100599787
10/2011,11847.672740631037
11/2011,12101.468830244437
12/2011,12426.579353396712
01/2012,12602.476809896249
02/2012,12745.62730204453
03/2012,12881.366657459233
04/2012,12994.38671998399
05/2012,13160.872406726918
06/2012,13296.651236985255
07/2012,13751.037992347301
08/2012,13637.969611716679
09/2012,13685.554639294187
10/2012,13470.394832060434
11/2012,13561.98337388438
12/2012,13383.253483622793
01/2013,13412.572754735987
02/2013,13764.088180715118
03/2013,14339.787093756819
04/2013,14292.330291518094
05/2013,14124.088771328637
06/2013,13792.963178800783
07/2013,14081.64476373833
08/2013,13927.295129005337
09/2013,14036.23290866657
10/2013,14259.977518267115
11/2013,14358.641407110346
12/2013,14323.01959852922
01/2014,14427.6792076315
02/2014,14681.19822264077
03/2014,14632.996290633899
04/2014,14636.730458841932
05/2014,14980.270899212048
06/2014,15210.435090737681
07/2014,15276.323234443242
08/2014,15739.42923533781
09/2014,15959.320695347802
10/2014,16104.05347987769
11/2014,16432.63308382924
12/2014,16727.63896791161
01/2015,17628.662359992955
02/2015,18064.28167952617
03/2015,18476.217161661196
04/2015,18000.045884894214
05/2015,18309.354755117507
06/2015,17774.221004857576
07/2015,18236.066940804598
08/2015,17418.817975220572
09/2015,17208.133585359592
10/2015,18129.345180900244
11/2015,18495.430921202216
12/2015,18061.09880836685
01/2016,17851.945003984067
02/2016,18131.240165954154
03/2016,18161.440466647087
04/2016,18239.666991259364
05/2016,18514.73211589675
06/2016,19061.233716584415
07/2016,19384.706698205635
08/2016,19106.73282610149
09/2016,19145.361733140282
10/2016,18936.265803907812
11/2016,19123.98878308903
12/2016,19432.867864733656
01/2017,19440.658842439283
02/2017,20050.33043124667
03/2017,19979.01752327096
04/2017,19905.346638161634
05/2017,19893.131593220896
06/2017,19625.959554195208
07/2017,19586.700419988258
08/2017,19684.341867261854
09/2017,19806.93635016387
10/2017,20334.24676040652
11/2017,20394.422057408916
12/2017,20278.759804591475
01/2018,20415.40713359222
02/2018,20324.831092063123
03/2018,20080.63191409257
04/2018,20353.999615657507
05/2018,20892.62463730263
06/2018,20909.27617589626
07/2018,21061.210180658833
08/2018,21460.507746797448
09/2018,21613.702987216733
10/2018,21089.190340645953
11/2018,21287.434133585604
12/2018,20506.751391670346
01/2019,21251.75008821975
02/2019,21672.376485177814
03/2019,22190.726239595184
04/2019,22523.891945646228
05/2019,22221.404260850482
06/2019,22924.11691131916
07/2019,23483.284287297964
08/2019,23922.081107651014
09/2019,24097.917031826135
10/2019,23893.092672864124
11/2019,24300.55929008866
12/2019,24317.242124801272
01/2020,25000.471585522566
02/2020,24164.28128414874
03/2020,22734.078800272007
04/2020,24080.51314743005
05/2020,24308.71982456396
06/2020,24648.22235002099
07/2020,24814.48011432512
08/2020,25366.836358884575
09/2020,25229.819767741512
10/2020,24882.87508048125
11/2020,25453.731865214533
12/2020,25736.993982188797
01/2021,25788.163392436152
02/2021,25541.801491483442
03/2021,26449.22925637027
04/2021,26705.79160302742
05/2021,26788.65999091196
06/2021,27267.105052987827
07/2021,27788.36947166958
08/2021,28233.07998847769
09/2021,27820.000682035556
10/2021,28603.03447184195
11/2021,28910.730221993737
12/2021,29528.466715594655
01/2022,28749.456226448925
02/2022,28469.83875791875
03/2022,29196.646386735843
04/2022,28644.647354988847
05/2022,28028.534782373492
06/2022,27449.68089905368
07/2022,28665.94482220595
08/2022,28166.84980291264
09/2022,27131.923055888423
10/2022,27903.17013830383
11/2022,28231.170403854852
12/2022,27112.409338213696
01/2023,27576.518119187083
02/2023,27231.888174228796
03/2023,27591.32994053876
04/2023,27758.323773063148
05/2023,27850.679595132013
06/2023,28187.41997215415
07/2023,28380.057546936296
08/2023,28402.15309330032
09/2023,27982.445845721006
10/2023,27936.669159606987
11/2023,28782.464940775553
12/2023,29431.162755095047
01/2024,30265.398923754026
02/2024,31067.868008679023
03/2024,32014.850423919284
04/2024,31599.25584059262
05/2024,32143.97201410572
06/2024,32881.69815165167
07/2024,33149.473633003734
08/2024,33332.37816376662
09/2024,33649.49236315419
