Date,Backtest 50
11/1994,10000
12/1994,10182.352157732914
01/1995,9993.562833973956
02/1995,10088.872787840848
03/1995,10167.336322277934
04/1995,10283.74036687112
05/1995,10562.143098660748
06/1995,10623.103249298716
07/1995,10812.05560457264
08/1995,11008.848158535575
09/1995,11336.339221852193
10/1995,11207.169679165458
11/1995,11519.03747213813
12/1995,11795.013023637062
01/1996,12091.587465503642
02/1996,12131.19410596424
03/1996,12236.867766284267
04/1996,12450.610161932142
05/1996,12664.188083825988
06/1996,12637.395248375506
07/1996,12245.659676709365
08/1996,12351.22565254878
09/1996,12739.255716126538
10/1996,12877.231271622664
11/1996,13194.756967411848
12/1996,13307.475562154774
01/1997,13662.582522616716
02/1997,14121.065981324376
03/1997,13955.443710826466
04/1997,14281.813419185632
05/1997,14804.94338580691
06/1997,15389.015013208369
07/1997,16254.272409284235
08/1997,16044.921081983446
09/1997,16492.8888947478
10/1997,15813.239659332368
11/1997,15691.501670751077
12/1997,16110.819545831291
01/1998,16650.104036515644
02/1998,17191.03338208181
03/1998,17757.367894939365
04/1998,17897.172521435805
05/1998,17556.488199514723
06/1998,17886.214731560958
07/1998,17891.910820456207
08/1998,16444.45104994957
09/1998,16362.822985485338
10/1998,16546.187074324982
11/1998,17395.818512586116
12/1998,17811.73717154021
01/1999,18468.091201112788
02/1999,18322.56624128245
03/1999,18901.613272713254
04/1999,19519.418461517336
05/1999,19286.799215037732
06/1999,19876.783051253882
07/1999,19293.34767081579
08/1999,19292.798149635928
09/1999,19423.892887478927
10/1999,20133.948468494687
11/1999,21107.932181147422
12/1999,22301.932736448554
01/2000,21938.62905075844
02/2000,22614.44505411828
03/2000,23440.64395388655
04/2000,23500.618573067815
05/2000,22597.584187686665
06/2000,22862.40154589813
07/2000,23021.114897106552
08/2000,24195.4029812038
09/2000,23573.555249591114
10/2000,23741.167048531872
11/2000,22885.822301974513
12/2000,22528.113714252
01/2001,22760.73981607249
02/2001,22236.641312470234
03/2001,22205.105689933294
04/2001,22750.34760227628
05/2001,23545.702347320715
06/2001,23518.773734680573
07/2001,23008.94158994554
08/2001,22283.89085374678
09/2001,21498.25750428596
10/2001,21806.061889762004
11/2001,22397.345238099573
12/2001,22919.399005870524
01/2002,23114.818085063558
02/2002,23202.001027399623
03/2002,23699.928844899696
04/2002,23322.773838773526
05/2002,22865.787048294704
06/2002,21539.96056936512
07/2002,20860.834146036428
08/2002,21026.632021567784
09/2002,20471.255565110998
10/2002,20645.80649165152
11/2002,20931.637301652914
12/2002,20137.081465916453
01/2003,19729.61764857993
02/2003,19575.259031666348
03/2003,19402.08898269764
04/2003,19995.35198042046
05/2003,20199.094619771404
06/2003,20611.410642999228
07/2003,20836.00947979248
08/2003,21626.06868548472
09/2003,21039.19763515728
10/2003,21626.224954966714
11/2003,21517.02310087026
12/2003,21522.880368820523
01/2004,21931.69449534614
02/2004,22174.89089962328
03/2004,22723.6826190715
04/2004,22372.40378824056
05/2004,22232.159336774977
06/2004,22628.074411061163
07/2004,22329.701463423946
08/2004,22543.004793443244
09/2004,22601.9106947263
10/2004,22586.09619783474
11/2004,22924.69667924162
12/2004,22942.001309473457
01/2005,23308.755904071055
02/2005,23635.597595246312
03/2005,23714.935961961863
04/2005,23459.022836235206
05/2005,24547.597372441916
06/2005,25400.05696834046
07/2005,25860.172530443997
08/2005,25957.79433981071
09/2005,26727.109577252715
10/2005,26174.17629478164
11/2005,27207.833959923806
12/2005,27767.474847541525
01/2006,28386.608259758348
02/2006,28514.722232223947
03/2006,28617.003733220696
04/2006,28625.175492387672
05/2006,27602.37814245458
06/2006,27544.312342685127
07/2006,27590.190923909384
08/2006,27798.748730952262
09/2006,28054.541143359427
10/2006,28722.54193326222
11/2006,28760.559348865507
12/2006,28977.581292231658
01/2007,29568.0398341242
02/2007,29356.84515456234
03/2007,29483.941114827467
04/2007,29742.71152017368
05/2007,30289.53314957743
06/2007,29950.731267791227
07/2007,29469.58743124382
08/2007,29563.909791151695
09/2007,30012.16894279465
10/2007,30430.55742489009
11/2007,29439.512530970223
12/2007,29611.39771789394
01/2008,28851.77015326142
02/2008,28687.782479797574
03/2008,27754.69601539743
04/2008,28384.833220006964
05/2008,28685.502552708444
06/2008,27675.684877168143
07/2008,27489.600275640347
08/2008,28220.95670983233
09/2008,27234.149301226946
