Date,Backtest 60 min vol
11/1994,10000
12/1994,10225.787709256165
01/1995,9981.846022518406
02/1995,10067.376756128273
03/1995,10142.15560781086
04/1995,10247.427077172622
05/1995,10541.187187015297
06/1995,10610.606841910201
07/1995,10778.511454325931
08/1995,11009.793250619769
09/1995,11369.399557896919
10/1995,11236.956080948969
11/1995,11535.269884200507
12/1995,11880.153814385045
01/1996,12229.451147337602
02/1996,12271.405123416418
03/1996,12360.2152294138
04/1996,12592.954509358575
05/1996,12837.790123960982
06/1996,12816.590223141302
07/1996,12376.43338608905
08/1996,12482.349593418701
09/1996,12853.040754012269
10/1996,12997.382286100321
11/1996,13344.484328688904
12/1996,13519.371324567895
01/1997,13902.550046380798
02/1997,14427.63055256195
03/1997,14247.150926735303
04/1997,14553.201292469377
05/1997,15144.732068885356
06/1997,15757.489043525886
07/1997,16683.2774699422
08/1997,16438.225648028754
09/1997,16955.229191080034
10/1997,16209.531668028823
11/1997,16095.462769113183
12/1997,16673.17512323719
01/1998,17245.478931774807
02/1998,17834.285370846315
03/1998,18561.88996038693
04/1998,18648.550165443223
05/1998,18283.47485819661
06/1998,18572.77898426407
07/1998,18574.388447315032
08/1998,16993.354013771183
09/1998,16854.699772637436
10/1998,17058.747247079118
11/1998,17948.826460059194
12/1998,18490.576997685483
01/1999,19110.905317304554
02/1999,18955.450204446664
03/1999,19535.303080046273
04/1999,20226.84864551648
05/1999,20080.32558254772
06/1999,20636.69959887149
07/1999,20055.71716455857
08/1999,20008.93042968754
09/1999,20148.35308330063
10/1999,20922.177492198385
11/1999,21936.2166525769
12/1999,23257.856762265288
01/2000,22847.108796006534
02/2000,23436.961091942983
03/2000,24389.88466014476
04/2000,24611.922997686383
05/2000,23596.956494398764
06/2000,23807.794890556328
07/2000,24051.021595855913
08/2000,25425.443730584142
09/2000,25017.76677787716
10/2000,25317.056746378585
11/2000,24487.89394215877
12/2000,24017.29598861245
01/2001,23924.423861008472
02/2001,23586.781784427178
03/2001,23621.812262380023
04/2001,24168.313292462328
05/2001,25232.127655076467
06/2001,25177.628546714146
07/2001,24589.067628105775
08/2001,23789.686796537953
09/2001,22910.406715966972
10/2001,23073.226315556916
11/2001,23727.395852590118
12/2001,24334.233197367917
01/2002,24554.503971439204
02/2002,24767.097504614798
03/2002,25319.60110618973
04/2002,24954.061213510573
05/2002,24439.484484028464
06/2002,22863.80537519847
07/2002,22036.9892161175
08/2002,22213.961855990947
09/2002,21521.462195877706
10/2002,21595.161657225697
11/2002,21785.043280713573
12/2002,20975.330358637555
01/2003,20404.300647716424
02/2003,20205.726528588042
03/2003,20040.385938423064
04/2003,20655.06472762169
05/2003,20784.85127712692
06/2003,21273.403325738
07/2003,21491.77544379489
08/2003,22391.85114144493
09/2003,21722.78017383188
10/2003,22360.872030538398
11/2003,22245.54693504449
12/2003,22176.83558386266
01/2004,22629.173055727133
02/2004,22913.45455780837
03/2004,23656.85966557976
04/2004,23305.981488436242
05/2004,23143.537968826604
06/2004,23611.769130730718
07/2004,23306.490660021966
08/2004,23584.647814424326
